athlete_id,athlete_name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,source,country_from_noc,country_name,iso3,is_medal,is_gold,medal_score
141303,Yekaterina Lobaznyuk,F,,,,Russia,RUS,,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,Bronze,olympics_dataset_1896_2024,Russia,Russia,RUS,1,0,1
141305,Yekaterina Lobaznyuk,F,,,,Russia,RUS,,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,Silver,olympics_dataset_1896_2024,Russia,Russia,RUS,1,0,2
141315,Jonathan Lobert,M,,,,France,FRA,,2012,Summer,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,Bronze,olympics_dataset_1896_2024,France,France,FRA,1,0,1
141426,Ryan Lochte,M,,,,United States,USA,,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Individual Medley,Silver,olympics_dataset_1896_2024,United States,United States,USA,1,0,2
141428,Ryan Lochte,M,,,,United States,USA,,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
141429,Ryan Lochte,M,,,,United States,USA,,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,Bronze,olympics_dataset_1896_2024,United States,United States,USA,1,0,1
141430,Ryan Lochte,M,,,,United States,USA,,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Individual Medley,Bronze,olympics_dataset_1896_2024,United States,United States,USA,1,0,1
141434,Ryan Lochte,M,,,,United States,USA,,2012,Summer,London,Swimming,Swimming Men's 200 metres Backstroke,Bronze,olympics_dataset_1896_2024,United States,United States,USA,1,0,1
141435,Ryan Lochte,M,,,,United States,USA,,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,Silver,olympics_dataset_1896_2024,United States,United States,USA,1,0,2
141436,Ryan Lochte,M,,,,United States,USA,,2012,Summer,London,Swimming,Swimming Men's 400 metres Individual Medley,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
141524,Emanuel Lffler,M,,,,Czechoslovakia,TCH,,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Horse Vault,Silver,olympics_dataset_1896_2024,Czechia,Czechia,TCH,1,0,2
141527,Emanuel Lffler,M,,,,Czechoslovakia,TCH,,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Rings,Bronze,olympics_dataset_1896_2024,Czechia,Czechia,TCH,1,0,1
141627,Charles Jr.,M,,,,United States,USA,,1952,Summer,Helsinki,Rowing,Rowing Men's Coxless Pairs,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
141631,Mihaela Loghin,F,,,,Romania,ROU,,1984,Summer,Los Angeles,Athletics,Athletics Women's Shot Put,Silver,olympics_dataset_1896_2024,Romania,Romania,ROU,1,0,2
141699,Bobby Lohse,M,,,,Sweden,SWE,,1996,Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,Silver,olympics_dataset_1896_2024,Sweden,Sweden,SWE,1,0,2
141706,Jozef Lohya,M,,,,Czechoslovakia,TCH,,1988,Summer,Seoul,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,olympics_dataset_1896_2024,Czechia,Czechia,TCH,1,0,1
141764,Sven Loll,M,,,,East Germany,GDR,,1988,Summer,Seoul,Judo,Judo Men's Lightweight,Silver,olympics_dataset_1896_2024,Germany,Germany,DEU,1,0,2
141781,Vasyl Lomachenko,M,,,,Ukraine,UKR,,2008,Summer,Beijing,Boxing,Boxing Men's Featherweight,Gold,olympics_dataset_1896_2024,Ukraine,Ukraine,UKR,1,1,3
141782,Vasyl Lomachenko,M,,,,Ukraine,UKR,,2012,Summer,London,Boxing,Boxing Men's Lightweight,Gold,olympics_dataset_1896_2024,Ukraine,Ukraine,UKR,1,1,3
141785,Trofim Lomakin,M,,,,Soviet Union,URS,,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold,olympics_dataset_1896_2024,Russia,Soviet Union,URS,1,1,3
141786,Trofim Lomakin,M,,,,Soviet Union,URS,,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,olympics_dataset_1896_2024,Russia,Soviet Union,URS,1,0,2
141800,Marie Lomba,F,,,,Belgium,BEL,,1996,Summer,Atlanta,Judo,Judo Women's Lightweight,Bronze,olympics_dataset_1896_2024,Belgium,Belgium,BEL,1,0,1
