year,noc,iso3,country_name,total_medals,expected_medals,medal_overperformance,gold_medals,gdp_total,population,gdp_per_capita,sports_entered,events_entered,model_note
2004,CZE,CZE,Czechia,9,15.863821539732117,-6.8638215397321165,1,296422062500.0,10261453.0,33452.34,20,104,year OLS: log_gdp_total + log_population + sports_entered
2008,CZE,CZE,Czechia,6,17.21747988571736,-11.21747988571736,3,351450750000.0,10378298.0,40328.344,21,105,year OLS: log_gdp_total + log_population + sports_entered
2012,CZE,CZE,Czechia,10,17.72271585524317,-7.72271585524317,4,370350000000.0,10507339.0,39347.05,21,99,year OLS: log_gdp_total + log_population + sports_entered
2016,CZE,CZE,Czechia,10,14.514029542867977,-4.514029542867977,1,403992812500.0,10531946.0,43069.465,20,92,year OLS: log_gdp_total + log_population + sports_entered
2020,CZE,CZE,Czechia,11,18.819265813225936,-7.819265813225936,4,453493625000.0,10550129.0,45119.938,26,89,year OLS: log_gdp_total + log_population + sports_entered
2024,CZE,CZE,Czechia,5,11.16304347826087,-6.163043478260869,3,,,47963.9,27,94,year mean baseline: insufficient economic matches
1896,DEN,DNK,Denmark,6,12.0,-6.0,1,,2453397.0,,5,12,year mean baseline: insufficient economic matches
1900,DEN,DNK,Denmark,7,12.125,-5.125,2,,2565333.0,,5,14,year mean baseline: insufficient economic matches
1906,DEN,DNK,Denmark,6,14.38888888888889,-8.38888888888889,3,,2752749.0,,8,24,year mean baseline: insufficient economic matches
1908,DEN,DNK,Denmark,5,16.842105263157894,-11.842105263157894,0,,2818657.0,,8,27,year mean baseline: insufficient economic matches
1912,DEN,DNK,Denmark,12,16.63157894736842,-4.631578947368421,1,,2955018.0,,13,46,year mean baseline: insufficient economic matches
1920,DEN,DNK,Denmark,13,20.272727272727273,-7.272727272727273,3,,3241362.0,,14,66,year mean baseline: insufficient economic matches
1924,DEN,DNK,Denmark,11,12.612903225806452,-1.612903225806452,2,,3363956.0,,13,60,year mean baseline: insufficient economic matches
1928,DEN,DNK,Denmark,9,10.470588235294118,-1.4705882352941178,3,,3485175.0,,14,55,year mean baseline: insufficient economic matches
1932,DEN,DNK,Denmark,8,13.214285714285714,-5.2142857142857135,0,,3603628.0,,9,34,year mean baseline: insufficient economic matches
1936,DEN,DNK,Denmark,5,13.1875,-8.1875,0,,3718868.0,,14,71,year mean baseline: insufficient economic matches
1948,DEN,DNK,Denmark,22,11.552631578947368,10.447368421052632,5,,4185901.0,,17,83,year mean baseline: insufficient economic matches
1952,DEN,DNK,Denmark,6,11.311559015235527,-5.311559015235527,2,50703804687.0,4332237.0,,15,73,year OLS: log_gdp_total + log_population + sports_entered
1956,DEN,DNK,Denmark,4,10.767948638823922,-6.767948638823922,1,56641195312.0,4466342.0,,11,29,year OLS: log_gdp_total + log_population + sports_entered
1960,DEN,DNK,Denmark,6,5.700235740239322,0.29976425976067844,2,69449914062.0,4579347.0,,15,46,year OLS: log_gdp_total + log_population + sports_entered
1964,DEN,DNK,Denmark,6,7.845607349289102,-1.8456073492891019,2,85053335937.0,4721889.0,,10,40,year OLS: log_gdp_total + log_population + sports_entered
1968,DEN,DNK,Denmark,8,6.421913415348873,1.5780865846511274,1,101540085937.0,4864801.0,,11,53,year OLS: log_gdp_total + log_population + sports_entered
1972,DEN,DNK,Denmark,1,11.549580894852433,-10.549580894852433,1,117182445312.0,4991569.0,,17,73,year OLS: log_gdp_total + log_population + sports_entered
1976,DEN,DNK,Denmark,3,6.464216523482906,-3.4642165234829063,1,125653531250.0,5072803.0,,15,40,year OLS: log_gdp_total + log_population + sports_entered
1980,DEN,DNK,Denmark,5,10.929867862888665,-5.929867862888665,2,138599453125.0,5123079.0,,13,30,year OLS: log_gdp_total + log_population + sports_entered
1984,DEN,DNK,Denmark,6,9.78335284940831,-3.7833528494083097,0,139606078125.0,5111831.0,,11,33,year OLS: log_gdp_total + log_population + sports_entered
1988,DEN,DNK,Denmark,4,18.332768285730392,-14.332768285730392,2,158837640625.0,5129650.0,,15,73,year OLS: log_gdp_total + log_population + sports_entered
1992,DEN,DNK,Denmark,6,7.705213142093348,-1.7052131420933483,1,175000234375.0,5171372.0,47540.926,14,67,year OLS: log_gdp_total + log_population + sports_entered
1996,DEN,DNK,Denmark,6,5.0984123922381315,0.9015876077618685,4,196931562500.0,5263071.0,52106.562,14,66,year OLS: log_gdp_total + log_population + sports_entered
2000,DEN,DNK,Denmark,6,9.514918254841785,-3.5149182548417848,2,235842312500.0,5339659.0,57907.504,16,55,year OLS: log_gdp_total + log_population + sports_entered
2004,DEN,DNK,Denmark,8,9.22684439025755,-1.2268443902575505,2,247606625000.0,5404594.0,59893.094,16,59,year OLS: log_gdp_total + log_population + sports_entered
2008,DEN,DNK,Denmark,7,7.930934950442795,-0.9309349504427953,2,294319156250.0,5493762.0,62968.16,16,62,year OLS: log_gdp_total + log_population + sports_entered
2012,DEN,DNK,Denmark,9,11.44150362455772,-2.44150362455772,2,309556281250.0,5591911.0,60497.69,17,69,year OLS: log_gdp_total + log_population + sports_entered
2016,DEN,DNK,Denmark,15,8.790332441479089,6.209667558520911,2,313261968750.0,5728196.0,63823.45,16,67,year OLS: log_gdp_total + log_population + sports_entered
2020,DEN,DNK,Denmark,11,10.469303063467406,0.5306969365325944,3,355458781250.0,5831529.0,65744.44,19,63,year OLS: log_gdp_total + log_population + sports_entered
2024,DEN,DNK,Denmark,9,11.16304347826087,-2.163043478260869,2,,,71431.29,24,60,year mean baseline: insufficient economic matches
1988,DJI,DJI,Djibouti,1,0.0,1.0,0,2114999267.0,484531.0,,2,5,year OLS: log_gdp_total + log_population + sports_entered
2024,DMA,DMA,Dominica,1,11.16304347826087,-10.16304347826087,1,,,18739.363,2,4,year mean baseline: insufficient economic matches
1984,DOM,DOM,Dominican Republic,1,0.0,1.0,0,35949523437.0,6289048.0,,7,20,year OLS: log_gdp_total + log_population + sports_entered
2004,DOM,DOM,Dominican Republic,1,0.16741609203016594,0.8325839079698341,1,84487539062.0,9104889.0,11131.2705,9,22,year OLS: log_gdp_total + log_population + sports_entered
2008,DOM,DOM,Dominican Republic,2,0.7059643834766403,1.2940356165233597,1,121088515625.0,9573135.0,14030.141,9,21,year OLS: log_gdp_total + log_population + sports_entered
2012,DOM,DOM,Dominican Republic,2,2.338294643577,-0.338294643577,1,145990796875.0,10070409.0,15487.277,10,21,year OLS: log_gdp_total + log_population + sports_entered
2016,DOM,DOM,Dominican Republic,1,3.245711375567101,-2.245711375567101,0,184887218750.0,10551430.0,18968.975,11,22,year OLS: log_gdp_total + log_population + sports_entered
2020,DOM,DOM,Dominican Republic,5,2.11775202283695,2.88224797716305,0,216032609375.0,11008298.0,19545.41,11,31,year OLS: log_gdp_total + log_population + sports_entered
2024,DOM,DOM,Dominican Republic,3,11.16304347826087,-8.16304347826087,1,,,24229.889,13,27,year mean baseline: insufficient economic matches
2024,EOR,EOR,EOR,1,11.16304347826087,-10.16304347826087,0,,,,13,39,year mean baseline: insufficient economic matches
1996,ECU,ECU,Ecuador,1,0.0,1.0,1,72935312500.0,11810954.0,9509.275,7,18,year OLS: log_gdp_total + log_population + sports_entered
2008,ECU,ECU,Ecuador,1,2.0155252818478377,-1.0155252818478377,0,156102421875.0,14575201.0,11474.525,9,23,year OLS: log_gdp_total + log_population + sports_entered
2020,ECU,ECU,Ecuador,3,8.912632667848465,-5.912632667848465,2,212802078125.0,17546058.0,12440.326,17,35,year OLS: log_gdp_total + log_population + sports_entered
2024,ECU,ECU,Ecuador,5,11.16304347826087,-6.163043478260869,1,,,13935.539,14,32,year mean baseline: insufficient economic matches
1928,EGY,EGY,Egypt,4,10.470588235294118,-6.470588235294118,2,,13916394.0,,5,14,year mean baseline: insufficient economic matches
1936,EGY,EGY,Egypt,5,13.1875,-8.1875,2,,15435599.0,,10,30,year mean baseline: insufficient economic matches
1948,EGY,EGY,Egypt,5,11.552631578947368,-6.552631578947368,2,,20095954.0,,12,53,year mean baseline: insufficient economic matches
1952,EGY,EGY,Egypt,1,11.186046511627907,-10.186046511627907,0,,22104946.0,,14,65,year mean fallback: missing economic predictors
1984,EGY,EGY,Egypt,1,6.656575633763014,-5.656575633763014,0,118174851562.0,49247336.0,,15,74,year OLS: log_gdp_total + log_population + sports_entered
2004,EGY,EGY,Egypt,5,17.21452489679915,-12.214524896799151,1,491342218750.0,79477441.0,10451.821,17,48,year OLS: log_gdp_total + log_population + sports_entered
2008,EGY,EGY,Egypt,1,21.350224432507844,-20.350224432507844,0,780638937500.0,85864791.0,12391.585,19,68,year OLS: log_gdp_total + log_population + sports_entered
2012,EGY,EGY,Egypt,2,23.205448784357078,-21.205448784357078,0,1290421375000.0,93161000.0,13076.806,21,87,year OLS: log_gdp_total + log_population + sports_entered
2016,EGY,EGY,Egypt,3,23.279395773745964,-20.279395773745964,0,1309957250000.0,101644583.0,13727.32,23,87,year OLS: log_gdp_total + log_population + sports_entered
2020,EGY,EGY,Egypt,6,24.444888402462325,-18.444888402462325,1,1764861125000.0,109315118.0,15309.236,27,94,year OLS: log_gdp_total + log_population + sports_entered
2024,EGY,EGY,Egypt,3,11.16304347826087,-8.16304347826087,1,,,16798.152,26,89,year mean baseline: insufficient economic matches
2004,ERI,ERI,Eritrea,1,12.527027027027026,-11.527027027027026,0,,2598288.0,,1,3,year mean fallback: missing economic predictors
1920,EST,EST,Estonia,3,20.272727272727273,-17.272727272727273,1,,1105673.0,,3,19,year mean baseline: insufficient economic matches
1924,EST,EST,Estonia,6,12.612903225806452,-6.612903225806452,1,,1116851.0,,5,26,year mean baseline: insufficient economic matches
1928,EST,EST,Estonia,5,10.470588235294118,-5.470588235294118,2,,1120448.0,,5,19,year mean baseline: insufficient economic matches
1936,EST,EST,Estonia,7,13.1875,-6.1875,2,,1121052.0,,8,29,year mean baseline: insufficient economic matches
1992,EST,EST,Estonia,2,1.0006793604098934,0.9993206395901066,1,17516388671.0,1540214.0,14225.231,13,35,year OLS: log_gdp_total + log_population + sports_entered
2000,EST,EST,Estonia,3,1.6035100146487296,1.3964899853512704,1,21534171875.0,1397001.0,20528.57,11,29,year OLS: log_gdp_total + log_population + sports_entered
2004,EST,EST,Estonia,3,0.0,3.0,0,26515781250.0,1362682.0,27384.084,10,34,year OLS: log_gdp_total + log_population + sports_entered
2008,EST,EST,Estonia,2,0.27586473509792486,1.7241352649020751,1,36967425781.0,1337078.0,34236.95,13,42,year OLS: log_gdp_total + log_population + sports_entered
2012,EST,EST,Estonia,2,0.0,2.0,0,42212789062.0,1322615.0,33768.574,11,30,year OLS: log_gdp_total + log_population + sports_entered
2016,EST,EST,Estonia,1,0.0,1.0,0,43919074218.0,1315850.0,37470.043,13,31,year OLS: log_gdp_total + log_population + sports_entered
2020,EST,EST,Estonia,2,1.912676684458765,0.08732331554123496,1,52734351562.0,1329675.0,40920.527,15,28,year OLS: log_gdp_total + log_population + sports_entered
1960,ETH,ETH,Ethiopia,1,0.0,1.0,1,13667129882.0,21376688.0,,2,8,year OLS: log_gdp_total + log_population + sports_entered
1964,ETH,ETH,Ethiopia,1,0.0,1.0,1,16125008789.0,23666547.0,,3,11,year OLS: log_gdp_total + log_population + sports_entered
1968,ETH,ETH,Ethiopia,2,0.0,2.0,1,19045130859.0,26337933.0,,3,13,year OLS: log_gdp_total + log_population + sports_entered
1972,ETH,ETH,Ethiopia,2,0.0,2.0,0,22205396484.0,29374611.0,,3,20,year OLS: log_gdp_total + log_population + sports_entered
1980,ETH,ETH,Ethiopia,4,0.2626130933237121,3.7373869066762877,2,28036546875.0,34428515.0,,3,26,year OLS: log_gdp_total + log_population + sports_entered
1992,ETH,ETH,Ethiopia,3,0.0,3.0,1,35194683593.0,51853756.0,680.8348,2,11,year OLS: log_gdp_total + log_population + sports_entered
1996,ETH,ETH,Ethiopia,3,0.0,3.0,2,41395535156.0,59467640.0,826.99164,2,10,year OLS: log_gdp_total + log_population + sports_entered
2000,ETH,ETH,Ethiopia,8,0.0,8.0,4,43013148437.0,67411496.0,810.27075,2,11,year OLS: log_gdp_total + log_population + sports_entered
2004,ETH,ETH,Ethiopia,7,0.0,7.0,2,56356503906.0,76077211.0,877.1145,2,12,year OLS: log_gdp_total + log_population + sports_entered
2008,ETH,ETH,Ethiopia,7,0.0,7.0,4,89506468750.0,85543670.0,1193.7473,1,10,year OLS: log_gdp_total + log_population + sports_entered
2012,ETH,ETH,Ethiopia,7,0.0,7.0,3,138476265625.0,95798771.0,1576.7688,2,14,year OLS: log_gdp_total + log_population + sports_entered
2016,ETH,ETH,Ethiopia,8,0.0,8.0,1,229132234375.0,106718163.0,2084.8406,3,16,year OLS: log_gdp_total + log_population + sports_entered
2020,ETH,ETH,Ethiopia,4,0.0,4.0,1,298918343750.0,118917670.0,2516.549,4,15,year OLS: log_gdp_total + log_population + sports_entered
2024,ETH,ETH,Ethiopia,4,11.16304347826087,-7.163043478260869,1,,,2892.2222,2,13,year mean baseline: insufficient economic matches
2016,FIJ,FIJ,Fiji,1,11.313953488372093,-10.313953488372093,1,,,,10,14,year mean fallback: missing economic predictors
2020,FIJ,FIJ,Fiji,2,11.612903225806452,-9.612903225806452,1,,,,6,8,year mean fallback: missing economic predictors
2024,FIJ,FIJ,Fiji,1,11.16304347826087,-10.16304347826087,0,,,,7,11,year mean baseline: insufficient economic matches
1906,FIN,FIN,Finland,4,14.38888888888889,-10.38888888888889,2,,2809391.0,,2,11,year mean baseline: insufficient economic matches
1908,FIN,FIN,Finland,5,16.842105263157894,-11.842105263157894,1,,2866950.0,,6,23,year mean baseline: insufficient economic matches
1912,FIN,FIN,Finland,26,16.63157894736842,9.368421052631579,9,,2965059.0,,10,49,year mean baseline: insufficient economic matches
1920,FIN,FIN,Finland,34,20.272727272727273,13.727272727272727,15,,3134300.0,,9,51,year mean baseline: insufficient economic matches
1924,FIN,FIN,Finland,37,12.612903225806452,24.387096774193548,14,,3251585.0,,12,69,year mean baseline: insufficient economic matches
1928,FIN,FIN,Finland,25,10.470588235294118,14.529411764705882,8,,3379000.0,,11,48,year mean baseline: insufficient economic matches
1932,FIN,FIN,Finland,25,13.214285714285714,11.785714285714286,5,,3492774.0,,5,36,year mean baseline: insufficient economic matches
1936,FIN,FIN,Finland,20,13.1875,6.8125,8,,3591534.0,,14,70,year mean baseline: insufficient economic matches
1948,FIN,FIN,Finland,22,11.552631578947368,10.447368421052632,8,,3939520.0,,16,84,year mean baseline: insufficient economic matches
1952,FIN,FIN,Finland,22,7.435010027874694,14.564989972125307,6,33993621093.0,4090839.0,,18,139,year OLS: log_gdp_total + log_population + sports_entered
1956,FIN,FIN,Finland,15,11.467661682005861,3.5323383179941388,3,41144476562.0,4281930.0,,15,67,year OLS: log_gdp_total + log_population + sports_entered
1960,FIN,FIN,Finland,5,3.0471934209081786,1.9528065790918214,1,49113054687.0,4429631.0,,14,92,year OLS: log_gdp_total + log_population + sports_entered
1964,FIN,FIN,Finland,5,6.6198918227826615,-1.6198918227826615,3,57508519531.0,4549092.0,,13,64,year OLS: log_gdp_total + log_population + sports_entered
1968,FIN,FIN,Finland,4,4.811372652356511,-0.8113726523565106,1,68343382812.0,4627352.0,,13,61,year OLS: log_gdp_total + log_population + sports_entered
1972,FIN,FIN,Finland,8,8.997181645920309,-0.9971816459203087,3,88090992187.0,4639548.0,,16,75,year OLS: log_gdp_total + log_population + sports_entered
1976,FIN,FIN,Finland,6,2.230139281189864,3.769860718810136,4,95059015625.0,4725340.0,,14,63,year OLS: log_gdp_total + log_population + sports_entered
1980,FIN,FIN,Finland,8,16.092006899619697,-8.092006899619697,3,113820859375.0,4779358.0,,16,71,year OLS: log_gdp_total + log_population + sports_entered
1984,FIN,FIN,Finland,12,11.341126234154611,0.6588737658453887,4,121509820312.0,4881827.0,,15,76,year OLS: log_gdp_total + log_population + sports_entered
1988,FIN,FIN,Finland,4,17.197542977590675,-13.197542977590675,1,147754265625.0,4946629.0,,15,66,year OLS: log_gdp_total + log_population + sports_entered
1992,FIN,FIN,Finland,5,9.788957938971624,-4.788957938971624,1,136898421875.0,5042145.0,34926.383,16,85,year OLS: log_gdp_total + log_population + sports_entered
1996,FIN,FIN,Finland,4,7.297857099612587,-3.297857099612587,1,162930906250.0,5124715.0,38301.51,15,74,year OLS: log_gdp_total + log_population + sports_entered
2000,FIN,FIN,Finland,4,9.643495550786735,-5.643495550786735,2,210394781250.0,5176197.0,46968.84,16,64,year OLS: log_gdp_total + log_population + sports_entered
2004,FIN,FIN,Finland,2,4.029433152672981,-2.029433152672981,0,226721203125.0,5228147.0,51494.707,12,53,year OLS: log_gdp_total + log_population + sports_entered
2008,FIN,FIN,Finland,4,5.02939573050857,-1.0293957305085701,1,270213468750.0,5313379.0,57494.586,14,55,year OLS: log_gdp_total + log_population + sports_entered
2012,FIN,FIN,Finland,3,7.358930891253386,-4.358930891253386,0,261846593750.0,5413978.0,53957.668,14,61,year OLS: log_gdp_total + log_population + sports_entered
2016,FIN,FIN,Finland,1,9.467196559311136,-8.467196559311136,0,259089687500.0,5495468.0,53984.633,17,55,year OLS: log_gdp_total + log_population + sports_entered
2020,FIN,FIN,Finland,2,1.7135900640261341,0.2864099359738659,0,283637968750.0,5529616.0,55424.86,11,37,year OLS: log_gdp_total + log_population + sports_entered
1896,FRA,FRA,France,11,12.0,-1.0,5,,39832125.0,,6,18,year mean baseline: insufficient economic matches
1900,FRA,FRA,France,102,12.125,89.875,28,,40019136.0,,19,81,year mean baseline: insufficient economic matches
1904,FRA,FRA,France,2,23.75,-21.75,0,,40216118.0,,1,2,year mean baseline: insufficient economic matches
1906,FRA,FRA,France,41,14.38888888888889,26.61111111111111,15,,40315932.0,,11,51,year mean baseline: insufficient economic matches
1908,FRA,FRA,France,19,16.842105263157894,2.157894736842106,5,,40415980.0,,13,54,year mean baseline: insufficient economic matches
1912,FRA,FRA,France,15,16.63157894736842,-1.6315789473684212,7,,40047151.0,,13,66,year mean baseline: insufficient economic matches
1920,FRA,FRA,France,42,20.272727272727273,21.727272727272727,9,,38529587.0,,23,113,year mean baseline: insufficient economic matches
1924,FRA,FRA,France,40,12.612903225806452,27.387096774193548,14,,39258004.0,,20,128,year mean baseline: insufficient economic matches
1928,FRA,FRA,France,25,10.470588235294118,14.529411764705882,7,,40288534.0,,17,112,year mean baseline: insufficient economic matches
1932,FRA,FRA,France,20,13.214285714285714,6.7857142857142865,11,,40691906.0,,13,57,year mean baseline: insufficient economic matches
1936,FRA,FRA,France,19,13.1875,5.8125,7,,40452232.0,,18,100,year mean baseline: insufficient economic matches
1948,FRA,FRA,France,32,11.552631578947368,20.44736842105263,11,,41401199.0,,20,135,year mean baseline: insufficient economic matches
1952,FRA,FRA,France,18,22.515954303649462,-4.515954303649462,6,387785718750.0,42780274.0,,18,131,year OLS: log_gdp_total + log_population + sports_entered
1956,FRA,FRA,France,14,24.108421024593085,-10.108421024593085,4,471413468750.0,44588525.0,,16,101,year OLS: log_gdp_total + log_population + sports_entered
1960,FRA,FRA,France,5,20.39322567242401,-15.393225672424009,0,569599125000.0,46428136.0,,19,120,year OLS: log_gdp_total + log_population + sports_entered
1964,FRA,FRA,France,15,23.949053756417705,-8.949053756417705,1,723262187500.0,48319087.0,,14,89,year OLS: log_gdp_total + log_population + sports_entered
1968,FRA,FRA,France,15,22.54020071856137,-7.540200718561369,7,873847750000.0,49947252.0,,16,107,year OLS: log_gdp_total + log_population + sports_entered
1972,FRA,FRA,France,13,30.353585570012047,-17.353585570012047,2,1106289250000.0,51743877.0,,18,132,year OLS: log_gdp_total + log_population + sports_entered
1976,FRA,FRA,France,9,39.49299923022262,-30.492999230222622,2,1303169250000.0,52959120.0,,18,128,year OLS: log_gdp_total + log_population + sports_entered
1980,FRA,FRA,France,14,17.021795119370893,-3.0217951193708927,6,1517265250000.0,53941061.0,,13,85,year OLS: log_gdp_total + log_population + sports_entered
1984,FRA,FRA,France,28,39.86773659314012,-11.867736593140123,5,1448434250000.0,55176626.0,,21,139,year OLS: log_gdp_total + log_population + sports_entered
1988,FRA,FRA,France,16,35.074283874279,-19.074283874278997,6,1638557625000.0,56361846.0,,23,167,year OLS: log_gdp_total + log_population + sports_entered
1992,FRA,FRA,France,29,29.24881461553146,-0.24881461553146167,8,1805523625000.0,57554867.0,39331.902,25,196,year OLS: log_gdp_total + log_population + sports_entered
1996,FRA,FRA,France,37,30.68359198731742,6.3164080126825795,15,1940337000000.0,58380638.0,40990.74,25,183,year OLS: log_gdp_total + log_population + sports_entered
2000,FRA,FRA,France,38,32.77799223112759,5.222007768872409,13,2386881250000.0,59483716.0,45922.48,28,196,year OLS: log_gdp_total + log_population + sports_entered
2004,FRA,FRA,France,33,31.305980294186227,1.6940197058137727,11,2464829000000.0,61175244.0,47720.44,27,193,year OLS: log_gdp_total + log_population + sports_entered
2008,FRA,FRA,France,41,27.69114869093681,13.30885130906319,7,2828190250000.0,62780187.0,50068.297,25,205,year OLS: log_gdp_total + log_population + sports_entered
2012,FRA,FRA,France,35,32.79324433513496,2.2067556648650424,11,2997053250000.0,64058465.0,49935.625,28,188,year OLS: log_gdp_total + log_population + sports_entered
2016,FRA,FRA,France,42,34.03428637498156,7.965713625018438,10,3075205500000.0,65086853.0,50984.074,32,202,year OLS: log_gdp_total + log_population + sports_entered
2020,FRA,FRA,France,33,39.39934388136781,-6.3993438813678125,10,3281382500000.0,65905273.0,49311.332,41,194,year OLS: log_gdp_total + log_population + sports_entered
2024,FRA,FRA,France,64,11.16304347826087,52.83695652173913,16,,,54799.348,46,223,year mean baseline: insufficient economic matches
2012,GAB,GAB,Gabon,1,0.0,1.0,0,32675267578.0,1846893.0,19450.402,5,7,year OLS: log_gdp_total + log_population + sports_entered
1996,GEO,GEO,Georgia,2,9.037363600556793,-7.037363600556793,0,17380007812.0,4812774.0,4339.005,13,39,year OLS: log_gdp_total + log_population + sports_entered
2000,GEO,GEO,Georgia,6,7.273438981935983,-1.2734389819359828,0,18512816406.0,4328361.0,5706.2725,12,41,year OLS: log_gdp_total + log_population + sports_entered
2004,GEO,GEO,Georgia,4,0.0,4.0,2,25503871093.0,4056076.0,7693.915,10,38,year OLS: log_gdp_total + log_population + sports_entered
2008,GEO,GEO,Georgia,6,1.301723180929874,4.698276819070126,3,38690195312.0,3941192.0,10856.104,11,35,year OLS: log_gdp_total + log_population + sports_entered
2012,GEO,GEO,Georgia,7,0.0,7.0,1,47117472656.0,3839208.0,13193.96,10,35,year OLS: log_gdp_total + log_population + sports_entered
2016,GEO,GEO,Georgia,7,0.6968362495865108,6.303163750413489,2,58296757812.0,3792061.0,15442.956,12,40,year OLS: log_gdp_total + log_population + sports_entered
2020,GEO,GEO,Georgia,8,0.0,8.0,2,71206960937.0,3795680.0,17031.145,11,35,year OLS: log_gdp_total + log_population + sports_entered
2024,GEO,GEO,Georgia,7,11.16304347826087,-4.163043478260869,3,,,24883.908,9,30,year mean baseline: insufficient economic matches
1896,GER,DEU,Germany,14,12.0,2.0,7,,52741949.0,,6,27,year mean baseline: insufficient economic matches
1900,GER,DEU,Germany,8,12.125,-4.125,4,,55775391.0,,10,27,year mean baseline: insufficient economic matches
1904,GER,DEU,Germany,16,23.75,-7.75,4,,59181365.0,,9,25,year mean baseline: insufficient economic matches
1906,GER,DEU,Germany,14,14.38888888888889,-0.3888888888888893,4,,60982895.0,,9,41,year mean baseline: insufficient economic matches
1908,GER,DEU,Germany,13,16.842105263157894,-3.842105263157894,3,,62839208.0,,12,41,year mean baseline: insufficient economic matches
1912,GER,DEU,Germany,26,16.63157894736842,9.368421052631579,6,,64385385.0,,14,69,year mean baseline: insufficient economic matches
1928,GER,DEU,Germany,39,10.470588235294118,28.529411764705884,11,,66341260.0,,16,95,year mean baseline: insufficient economic matches
1932,GER,DEU,Germany,24,13.214285714285714,10.785714285714286,5,,68184518.0,,15,67,year mean baseline: insufficient economic matches
1936,GER,DEU,Germany,101,13.1875,87.8125,38,,70133471.0,,22,143,year mean baseline: insufficient economic matches
1952,GER,DEU,Germany,24,21.598246463106946,2.401753536893054,0,486226906250.0,69826948.0,,18,123,year OLS: log_gdp_total + log_population + sports_entered
1952,GER,DEU,Germany,24,21.598246463106946,2.401753536893054,0,486226906250.0,69826948.0,,18,123,year OLS: log_gdp_total + log_population + sports_entered
1956,GER,DEU,Germany,26,25.685427373442508,0.3145726265574922,6,703716500000.0,70613897.0,,16,100,year OLS: log_gdp_total + log_population + sports_entered
1960,GER,DEU,Germany,42,23.506488522755063,18.493511477244937,12,911295500000.0,72811635.0,,17,148,year OLS: log_gdp_total + log_population + sports_entered
1964,GER,DEU,Germany,50,29.43624965674979,20.56375034325021,10,1080130375000.0,75313480.0,,19,159,year OLS: log_gdp_total + log_population + sports_entered
1968,FRG,DEU,Germany,26,25.224393125643477,0.775606874356523,5,1227024750000.0,77321280.0,,17,154,year OLS: log_gdp_total + log_population + sports_entered
1968,FRG,DEU,Germany,26,25.224393125643477,0.775606874356523,5,1227024750000.0,77321280.0,,17,154,year OLS: log_gdp_total + log_population + sports_entered
1968,FRG,DEU,Germany,26,25.224393125643477,0.775606874356523,5,1227024750000.0,77321280.0,,17,154,year OLS: log_gdp_total + log_population + sports_entered
1968,FRG,DEU,Germany,26,25.224393125643477,0.775606874356523,5,1227024750000.0,77321280.0,,17,154,year OLS: log_gdp_total + log_population + sports_entered
1968,GDR,DEU,Germany,25,25.552728104482366,-0.552728104482366,9,1227024750000.0,77321280.0,,18,124,year OLS: log_gdp_total + log_population + sports_entered
1968,GDR,DEU,Germany,25,25.552728104482366,-0.552728104482366,9,1227024750000.0,77321280.0,,18,124,year OLS: log_gdp_total + log_population + sports_entered
1968,GDR,DEU,Germany,25,25.552728104482366,-0.552728104482366,9,1227024750000.0,77321280.0,,18,124,year OLS: log_gdp_total + log_population + sports_entered
1968,GDR,DEU,Germany,25,25.552728104482366,-0.552728104482366,9,1227024750000.0,77321280.0,,18,124,year OLS: log_gdp_total + log_population + sports_entered
1972,FRG,DEU,Germany,40,38.5985679594757,1.4014320405242984,13,1499193125000.0,78719924.0,,23,183,year OLS: log_gdp_total + log_population + sports_entered
1972,FRG,DEU,Germany,40,38.5985679594757,1.4014320405242984,13,1499193125000.0,78719924.0,,23,183,year OLS: log_gdp_total + log_population + sports_entered
1972,FRG,DEU,Germany,40,38.5985679594757,1.4014320405242984,13,1499193125000.0,78719924.0,,23,183,year OLS: log_gdp_total + log_population + sports_entered
1972,FRG,DEU,Germany,40,38.5985679594757,1.4014320405242984,13,1499193125000.0,78719924.0,,23,183,year OLS: log_gdp_total + log_population + sports_entered
1972,GDR,DEU,Germany,66,33.11605177239273,32.88394822760727,20,1499193125000.0,78719924.0,,18,161,year OLS: log_gdp_total + log_population + sports_entered
1972,GDR,DEU,Germany,66,33.11605177239273,32.88394822760727,20,1499193125000.0,78719924.0,,18,161,year OLS: log_gdp_total + log_population + sports_entered
1972,GDR,DEU,Germany,66,33.11605177239273,32.88394822760727,20,1499193125000.0,78719924.0,,18,161,year OLS: log_gdp_total + log_population + sports_entered
1972,GDR,DEU,Germany,66,33.11605177239273,32.88394822760727,20,1499193125000.0,78719924.0,,18,161,year OLS: log_gdp_total + log_population + sports_entered
1976,FRG,DEU,Germany,39,42.000492517377666,-3.0004925173776655,10,1700923375000.0,78364503.0,,20,163,year OLS: log_gdp_total + log_population + sports_entered
1976,FRG,DEU,Germany,39,42.000492517377666,-3.0004925173776655,10,1700923375000.0,78364503.0,,20,163,year OLS: log_gdp_total + log_population + sports_entered
1976,FRG,DEU,Germany,39,42.000492517377666,-3.0004925173776655,10,1700923375000.0,78364503.0,,20,163,year OLS: log_gdp_total + log_population + sports_entered
1976,FRG,DEU,Germany,39,42.000492517377666,-3.0004925173776655,10,1700923375000.0,78364503.0,,20,163,year OLS: log_gdp_total + log_population + sports_entered
