year,season,noc,iso3,country_name,total_medals,gold_medals,silver_medals,bronze_medals,weighted_medal_score,population,gdp_total,gdp_per_capita,unique_athletes,sports_entered,events_entered,medals_per_million_people,gold_per_million_people,medals_per_100_athletes,gold_per_100_athletes,medals_per_entered_sport,medals_per_entered_event,weighted_score_per_athlete,weighted_score_per_entered_sport,medals_per_100b_gdp,gold_per_100b_gdp,rank_total_medals,rank_medals_per_million_people,rank_medals_per_100_athletes,rank_medals_per_entered_sport,rank_weighted_score_per_athlete,small_sample_flag,extreme_single_medal_flag,efficiency_label,efficiency_interpretation_note,has_population_match,has_gdp_total_match,economic_data_complete
2024,Summer,AIN,AIN,AIN,5,1,3,1,10,,,,32,10,30,,,15.625,3.125,0.5,0.16666666666666666,0.3125,1.0,,,43.0,,18.0,30.0,19.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,0,0,0
2008,Summer,AFG,AFG,Afghanistan,1,0,0,1,1,26482631.0,,2191.5044,4,2,4,0.037760598635384834,0.0,25.0,0.0,0.5,0.25,0.25,0.5,,,69.0,72.0,2.0,31.0,11.0,1,1,small_sample_ratio_sensitive,Efficiency metrics may be inflated by a small delegation or few entered events.,1,0,0
2012,Summer,AFG,AFG,Afghanistan,1,0,0,1,1,30560036.0,,2985.319,6,4,6,0.03272247454158758,0.0,16.666666666666664,0.0,0.25,0.16666666666666666,0.16666666666666666,0.25,,,68.0,73.0,9.0,53.0,22.0,1,0,small_sample_ratio_sensitive,Efficiency metrics may be inflated by a small delegation or few entered events.,1,0,0
2024,Summer,ALB,ALB,Albania,2,0,0,2,2,,,21641.074,8,4,9,,,25.0,0.0,0.5,0.2222222222222222,0.25,0.5,,,67.0,,8.0,30.0,24.0,1,0,small_sample_ratio_sensitive,Efficiency metrics may be inflated by a small delegation or few entered events.,0,0,0
1984,Summer,ALG,DZA,Algeria,2,0,0,2,2,21271969.0,331207437500.0,,33,4,17,0.09402044540399622,0.0,6.0606060606060606,0.0,0.5,0.11764705882352941,0.06060606060606061,0.5,0.603851174084821,0.0,30.0,33.0,21.0,20.0,29.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1992,Summer,ALG,DZA,Algeria,2,1,0,1,4,26628570.0,272614500000.0,11241.415,36,7,27,0.07510730016670066,0.03755365008335033,5.555555555555555,2.7777777777777777,0.2857142857142857,0.07407407407407407,0.1111111111111111,0.5714285714285714,0.733636692105519,0.3668183460527595,39.0,42.0,29.0,36.0,21.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
1996,Summer,ALG,DZA,Algeria,3,2,0,1,7,29033045.0,290448625000.0,10808.879,47,9,29,0.10333053250184401,0.06888702166789601,6.382978723404255,4.25531914893617,0.3333333333333333,0.10344827586206896,0.14893617021276595,0.7777777777777778,1.0328849034833614,0.6885899356555742,41.0,54.0,36.0,43.0,24.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2000,Summer,ALG,DZA,Algeria,5,1,1,3,8,30903894.0,335395593750.0,11558.221,51,10,42,0.161791908812527,0.0323583817625054,9.803921568627452,1.9607843137254901,0.5,0.11904761904761904,0.1568627450980392,0.8,1.4907768894921565,0.29815537789843133,35.0,54.0,16.0,28.0,23.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2008,Summer,ALG,DZA,Algeria,2,0,1,1,3,34816963.0,559060250000.0,14206.776,57,12,44,0.05744326407791513,0.0,3.508771929824561,0.0,0.16666666666666666,0.045454545454545456,0.05263157894736842,0.25,0.35774319494186896,0.0,57.0,69.0,66.0,67.0,74.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2012,Summer,ALG,DZA,Algeria,1,1,0,0,3,37646165.0,633323500000.0,14697.54,39,12,29,0.026563130666828878,0.026563130666828878,2.564102564102564,2.564102564102564,0.08333333333333333,0.034482758620689655,0.07692307692307693,0.25,0.1578971884037147,0.1578971884037147,68.0,76.0,78.0,81.0,64.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2016,Summer,ALG,DZA,Algeria,2,0,2,0,4,40850719.0,566563687500.0,15511.686,74,13,48,0.04895874660125321,0.0,2.7027027027027026,0.0,0.15384615384615385,0.041666666666666664,0.05405405405405406,0.3076923076923077,0.3530053274019613,0.0,57.0,71.0,72.0,67.0,69.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2024,Summer,ALG,DZA,Algeria,3,2,0,1,7,,,15501.92,46,15,47,,,6.521739130434782,4.3478260869565215,0.2,0.06382978723404255,0.15217391304347827,0.4666666666666667,,,59.0,,65.0,68.0,53.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,0,0,0
1924,Summer,ARG,ARG,Argentina,6,1,3,2,11,9901098.0,,,109,11,39,0.6059933958839717,0.10099889931399528,5.5045871559633035,0.9174311926605505,0.5454545454545454,0.15384615384615385,0.10091743119266056,1.0,,,14.0,18.0,18.0,16.0,18.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1928,Summer,ARG,ARG,Argentina,7,3,3,1,16,11139114.0,,,98,12,40,0.6284162277179316,0.2693212404505421,7.142857142857142,3.061224489795918,0.5833333333333334,0.175,0.16326530612244897,1.3333333333333333,,,14.0,13.0,17.0,22.0,14.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1932,Summer,ARG,ARG,Argentina,4,3,1,0,11,12228636.0,,,47,7,30,0.32710107652235293,0.24532580739176474,8.51063829787234,6.382978723404255,0.5714285714285714,0.13333333333333333,0.23404255319148937,1.5714285714285714,,,18.0,17.0,21.0,20.0,14.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1936,Summer,ARG,ARG,Argentina,7,2,2,3,13,13114548.0,,,68,8,31,0.5337583880130676,0.15250239657516218,10.294117647058822,2.941176470588235,0.875,0.22580645161290322,0.19117647058823528,1.625,,,16.0,15.0,6.0,10.0,6.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1948,Summer,ARG,ARG,Argentina,7,3,3,1,16,16387059.0,,,295,16,101,0.4271663389995728,0.18307128814267404,2.3728813559322033,1.0169491525423728,0.4375,0.06930693069306931,0.05423728813559322,1.0,,,15.0,20.0,30.0,20.0,27.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1952,Summer,ARG,ARG,Argentina,5,1,2,2,9,17698882.0,,,174,15,77,0.28250371972647764,0.05650074394529553,2.8735632183908044,0.5747126436781609,0.3333333333333333,0.06493506493506493,0.05172413793103448,0.6,,,20.0,26.0,27.0,28.0,29.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1956,Summer,ARG,ARG,Argentina,2,0,1,1,3,19049973.0,,,44,9,32,0.10498702544092844,0.0,4.545454545454546,0.0,0.2222222222222222,0.0625,0.06818181818181818,0.3333333333333333,,,25.0,28.0,28.0,29.0,29.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1960,Summer,ARG,ARG,Argentina,2,0,1,1,3,20386055.0,,,116,15,54,0.09810627902259657,0.0,1.7241379310344827,0.0,0.13333333333333333,0.037037037037037035,0.02586206896551724,0.2,,,24.0,30.0,34.0,35.0,33.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1964,Summer,ARG,ARG,Argentina,1,0,1,0,2,21769451.0,,,148,14,78,0.045935931043920214,0.0,0.6756756756756757,0.0,0.07142857142857142,0.01282051282051282,0.013513513513513514,0.14285714285714285,,,28.0,29.0,41.0,40.0,40.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1968,Summer,ARG,ARG,Argentina,2,0,0,2,2,23150580.0,,,132,12,60,0.08639092411507616,0.0,1.5151515151515151,0.0,0.16666666666666666,0.03333333333333333,0.015151515151515152,0.16666666666666666,,,60.0,63.0,73.0,71.0,73.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1972,Summer,ARG,ARG,Argentina,1,0,1,0,2,24644332.0,113565664062.0,,123,12,62,0.040577281624026164,0.0,0.8130081300813009,0.0,0.08333333333333333,0.016129032258064516,0.016260162601626018,0.16666666666666666,0.8805478383449248,0.0,64.0,65.0,75.0,75.0,76.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1988,Summer,ARG,ARG,Argentina,2,0,1,1,3,31780534.0,210851093750.0,,134,18,53,0.06293160461054556,0.0,1.4925373134328357,0.0,0.1111111111111111,0.03773584905660377,0.022388059701492536,0.16666666666666666,0.9485366968839829,0.0,60.0,65.0,77.0,76.0,78.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1992,Summer,ARG,ARG,Argentina,1,0,0,1,1,33693532.0,316158843750.0,19476.283,111,17,68,0.029679286813860895,0.0,0.9009009009009009,0.0,0.058823529411764705,0.014705882352941176,0.009009009009009009,0.058823529411764705,0.31629670330865134,0.0,50.0,52.0,62.0,62.0,64.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
1996,Summer,ARG,ARG,Argentina,3,0,2,1,5,35513795.0,612175000000.0,21695.596,221,20,102,0.08447421628693864,0.0,1.3574660633484164,0.0,0.15,0.029411764705882353,0.02262443438914027,0.25,0.49005594805406955,0.0,41.0,60.0,75.0,65.0,73.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2000,Summer,ARG,ARG,Argentina,4,0,2,2,6,37213986.0,589676562500.0,22281.38,165,21,98,0.10748647027491223,0.0,2.4242424242424243,0.0,0.19047619047619047,0.04081632653061224,0.03636363636363636,0.2857142857142857,0.67833796599301,0.0,43.0,58.0,70.0,66.0,70.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2004,Summer,ARG,ARG,Argentina,6,2,0,4,10,38815915.0,563328500000.0,21591.45,179,22,86,0.15457577130411587,0.05152525710137195,3.35195530726257,1.1173184357541899,0.2727272727272727,0.06976744186046512,0.055865921787709494,0.45454545454545453,1.0650978958103485,0.35503263193678286,32.0,53.0,61.0,54.0,63.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2008,Summer,ARG,ARG,Argentina,6,2,0,4,10,40424151.0,801948687500.0,27658.484,145,19,71,0.14842612278981443,0.04947537426327148,4.137931034482759,1.3793103448275863,0.3157894736842105,0.08450704225352113,0.06896551724137931,0.5263157894736842,0.7481775447135449,0.249392514904515,31.0,58.0,59.0,49.0,63.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2012,Summer,ARG,ARG,Argentina,4,1,1,2,7,42161718.0,1008138437500.0,28825.967,148,23,66,0.09487279432019351,0.023718198580048377,2.7027027027027026,0.6756756756756757,0.17391304347826086,0.06060606060606061,0.0472972972972973,0.30434782608695654,0.3967709047895518,0.09919272619738795,42.0,63.0,76.0,71.0,76.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2016,Summer,ARG,ARG,Argentina,4,3,1,0,11,43900312.0,1015130187500.0,27802.105,232,26,80,0.09111552555708488,0.06833664416781365,1.7241379310344827,1.293103448275862,0.15384615384615385,0.05,0.04741379310344827,0.4230769230769231,0.39403812922271114,0.29552859691703337,44.0,65.0,81.0,67.0,72.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2020,Summer,ARG,ARG,Argentina,3,0,1,2,4,45191960.0,1045251187500.0,23877.094,208,31,61,0.06638348945254864,0.0,1.4423076923076923,0.0,0.0967741935483871,0.04918032786885246,0.019230769230769232,0.12903225806451613,0.287012350320817,0.0,60.0,68.0,92.0,90.0,93.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2024,Summer,ARG,ARG,Argentina,3,1,1,1,6,,,26771.965,143,25,41,,,2.097902097902098,0.6993006993006993,0.12,0.07317073170731707,0.04195804195804196,0.24,,,59.0,,91.0,83.0,86.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,0,0,0
1996,Summer,ARM,ARM,Armenia,2,1,1,0,5,3278738.0,12103227539.0,3717.3357,38,11,36,0.6099907952388999,0.30499539761944994,5.263157894736842,2.631578947368421,0.18181818181818182,0.05555555555555555,0.13157894736842105,0.45454545454545453,16.52451789041756,8.26225894520878,47.0,26.0,43.0,60.0,28.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2000,Summer,ARM,ARM,Armenia,1,0,0,1,1,3125630.0,13090859375.0,4589.0083,26,10,26,0.3199355010029978,0.0,3.8461538461538463,0.0,0.1,0.038461538461538464,0.038461538461538464,0.1,7.638917899536294,0.0,64.0,44.0,58.0,76.0,68.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2008,Summer,ARM,ARM,Armenia,6,0,0,6,6,2959996.0,28332404296.0,11727.482,26,7,24,2.0270297662564407,0.0,23.076923076923077,0.0,0.8571428571428571,0.25,0.23076923076923078,0.8571428571428571,21.177164978007486,0.0,31.0,7.0,6.0,15.0,16.0,0,0,small_scale_high_efficiency,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2012,Summer,ARM,ARM,Armenia,3,0,1,2,4,2922529.0,35922910156.0,11796.274,31,9,30,1.026508205735512,0.0,9.67741935483871,0.0,0.3333333333333333,0.1,0.12903225806451613,0.4444444444444444,8.351216499365174,0.0,49.0,20.0,20.0,45.0,35.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2016,Summer,ARM,ARM,Armenia,4,1,3,0,9,2918796.0,37759492187.0,13192.994,34,8,32,1.370428080619543,0.34260702015488576,11.76470588235294,2.941176470588235,0.5,0.125,0.2647058823529412,1.125,10.593362803160623,2.648340700790156,44.0,11.0,22.0,33.0,19.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2020,Summer,ARM,ARM,Armenia,4,0,2,2,6,2890893.0,49289308593.0,15052.936,19,8,19,1.3836555002208661,0.0,21.052631578947366,0.0,0.5,0.21052631578947367,0.3157894736842105,0.75,8.115350192938342,0.0,47.0,15.0,4.0,31.0,9.0,0,0,small_scale_high_efficiency,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2024,Summer,ARM,ARM,Armenia,4,0,3,1,7,,,20078.785,15,7,16,,,26.666666666666668,0.0,0.5714285714285714,0.25,0.4666666666666667,1.0,,,50.0,,7.0,26.0,9.0,0,0,small_scale_high_efficiency,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,0,0,0
1896,Summer,AUS,AUS,Australia,3,2,0,1,7,3438259.0,,,5,2,5,0.8725346170838206,0.5816897447225471,60.0,40.0,1.5,0.6,1.4,3.5,,,9.0,4.0,3.0,6.0,2.0,1,0,scale_and_efficiency_power,Efficiency metrics may be inflated by a small delegation or few entered events.,1,0,0
1900,Summer,AUS,AUS,Australia,6,3,0,3,12,3693331.0,,,6,2,6,1.6245497628021968,0.8122748814010984,100.0,50.0,3.0,1.0,2.0,6.0,,,9.0,7.0,1.0,3.0,4.0,1,0,scale_and_efficiency_power,Efficiency metrics may be inflated by a small delegation or few entered events.,1,0,0
1904,Summer,AUS,AUS,Australia,4,0,3,1,7,3935097.0,,,6,2,6,1.0164933672537169,0.0,66.66666666666666,0.0,2.0,0.6666666666666666,1.1666666666666667,3.5,,,7.0,3.0,2.0,2.0,4.0,1,0,scale_and_efficiency_power,Efficiency metrics may be inflated by a small delegation or few entered events.,1,0,0
1906,Summer,AUS,AUS,Australia,3,0,0,3,3,4058399.0,,,10,2,9,0.7392077516281667,0.0,30.0,0.0,1.5,0.3333333333333333,0.3,1.5,,,17.0,14.0,2.0,14.0,9.0,1,0,small_sample_ratio_sensitive,Efficiency metrics may be inflated by a small delegation or few entered events.,1,0,0
1908,Summer,ANZ,ANZ,Australia,5,1,2,2,9,,,,48,6,20,,,10.416666666666668,2.083333333333333,0.8333333333333334,0.25,0.1875,1.5,,,10.0,,5.0,11.0,4.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,0,0,0
1912,Summer,ANZ,ANZ,Australia,7,2,2,3,13,,,,38,4,17,,,18.421052631578945,5.263157894736842,1.75,0.4117647058823529,0.34210526315789475,3.25,,,12.0,,1.0,6.0,3.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,0,0,0
1920,Summer,AUS,AUS,Australia,3,0,2,1,5,5274343.0,,,29,5,19,0.5687912219588297,0.0,10.344827586206897,0.0,0.6,0.15789473684210525,0.1724137931034483,1.0,,,14.0,17.0,9.0,15.0,11.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1924,Summer,AUS,AUS,Australia,6,3,1,2,13,5691958.0,,,60,9,31,1.054118811136695,0.5270594055683475,10.0,5.0,0.6666666666666666,0.1935483870967742,0.21666666666666667,1.4444444444444444,,,14.0,12.0,7.0,13.0,3.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1928,Summer,AUS,AUS,Australia,4,1,2,1,8,6137556.0,,,29,6,26,0.6517252144013024,0.1629313036003256,13.793103448275861,3.4482758620689653,0.6666666666666666,0.15384615384615385,0.27586206896551724,1.3333333333333333,,,19.0,12.0,6.0,18.0,6.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1932,Summer,AUS,AUS,Australia,5,3,1,1,12,6480541.0,,,20,6,17,0.771540524163029,0.4629243144978174,25.0,15.0,0.8333333333333334,0.29411764705882354,0.6,2.0,,,15.0,9.0,3.0,17.0,2.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1936,Summer,AUS,AUS,Australia,1,0,0,1,1,6704321.0,,,39,7,26,0.1491575358638108,0.0,2.564102564102564,0.0,0.14285714285714285,0.038461538461538464,0.02564102564102564,0.14285714285714285,,,25.0,24.0,27.0,30.0,28.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1948,Summer,AUS,AUS,Australia,13,2,6,5,23,7887049.0,,,103,11,52,1.6482717427012308,0.25358026810788165,12.62135922330097,1.9417475728155338,1.1818181818181819,0.25,0.22330097087378642,2.090909090909091,,,11.0,9.0,6.0,11.0,8.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
1952,Summer,AUS,AUS,Australia,11,6,2,3,25,8630707.0,122592406250.0,,140,12,67,1.274518993635168,0.6951921783464553,7.857142857142857,4.285714285714286,0.9166666666666666,0.16417910447761194,0.17857142857142858,2.0833333333333335,8.972823306500684,4.894267258091282,14.0,11.0,12.0,16.0,10.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1956,Summer,AUS,AUS,Australia,35,13,8,14,69,9424660.0,157831296875.0,,412,19,143,3.7136618191001056,1.3793601042371821,8.495145631067961,3.1553398058252426,1.8421052631578947,0.24475524475524477,0.16747572815533981,3.6315789473684212,22.17557651301533,8.236642704834265,3.0,2.0,16.0,5.0,14.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1960,Summer,AUS,AUS,Australia,22,8,8,6,46,10280815.0,185371875000.0,,280,17,122,2.1399081687589945,0.7781484250032706,7.857142857142857,2.857142857142857,1.2941176470588236,0.18032786885245902,0.16428571428571428,2.7058823529411766,11.86803553667459,4.315649286063487,5.0,1.0,9.0,6.0,9.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1964,Summer,AUS,AUS,Australia,18,6,2,10,32,11128257.0,226461875000.0,,392,19,133,1.6175039810816734,0.5391679936938912,4.591836734693878,1.530612244897959,0.9473684210526315,0.13533834586466165,0.08163265306122448,1.6842105263157894,7.9483577533746015,2.6494525844582006,8.0,4.0,22.0,13.0,22.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1968,Summer,AUS,AUS,Australia,17,5,7,5,34,12030009.0,275991593750.0,,224,16,105,1.4131327748798856,0.4156272867293782,7.5892857142857135,2.232142857142857,1.0625,0.1619047619047619,0.15178571428571427,2.125,6.159607895666206,1.8116493810782959,38.0,3.0,14.0,41.0,14.0,0,0,small_scale_high_efficiency,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1972,Summer,AUS,AUS,Australia,17,8,7,2,40,13304897.0,331346000000.0,,266,20,110,1.2777250361276755,0.6012823699424354,6.390977443609022,3.007518796992481,0.85,0.15454545454545454,0.15037593984962405,2.0,5.130588569048668,2.414394620728785,41.0,5.0,41.0,45.0,25.0,0,0,small_scale_high_efficiency,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1976,Summer,AUS,AUS,Australia,5,0,1,4,6,14046758.0,356678718750.0,,274,20,115,0.35595402156141653,0.0,1.824817518248175,0.0,0.25,0.043478260869565216,0.021897810218978103,0.3,1.4018217900756098,0.0,50.0,50.0,65.0,58.0,68.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1980,Summer,AUS,AUS,Australia,9,2,2,5,15,14721345.0,404864562500.0,,190,17,92,0.6113571823770179,0.13585715163933731,4.736842105263158,1.0526315789473684,0.5294117647058824,0.09782608695652174,0.07894736842105263,0.8823529411764706,2.2229656121113344,0.49399235824696314,13.0,12.0,23.0,17.0,23.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1984,Summer,AUS,AUS,Australia,24,4,8,12,40,15620653.0,454318750000.0,,337,22,137,1.53642744640701,0.256071241067835,7.121661721068249,1.1869436201780417,1.0909090909090908,0.17518248175182483,0.11869436201780416,1.8181818181818181,5.282634714063639,0.8804391190106065,10.0,7.0,16.0,11.0,18.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1988,Summer,AUS,AUS,Australia,14,3,6,5,26,16594104.0,548373187500.0,,339,24,145,0.8436731504153523,0.18078710366043263,4.129793510324483,0.8849557522123894,0.5833333333333334,0.09655172413793103,0.07669616519174041,1.0833333333333333,2.5530059308379296,0.5470726994652707,43.0,26.0,54.0,49.0,57.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1992,Summer,AUS,AUS,Australia,27,7,9,11,50,17549286.0,591388562500.0,35426.285,390,25,153,1.538524131409107,0.3988766266616203,6.923076923076923,1.7948717948717947,1.08,0.17647058823529413,0.1282051282051282,2.0,4.565526239780804,1.1836549510542826,9.0,9.0,18.0,11.0,17.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
1996,Summer,AUS,AUS,Australia,41,9,9,23,68,18305305.0,714362687500.0,39663.16,550,26,211,2.2397878647747196,0.4916607508042068,7.454545454545454,1.6363636363636365,1.5769230769230769,0.1943127962085308,0.12363636363636364,2.6153846153846154,5.739381509900039,1.2598642338804966,5.0,3.0,27.0,7.0,33.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2000,Summer,AUS,AUS,Australia,58,16,25,17,115,19132472.0,837162062500.0,45099.074,788,34,270,3.03149535512191,0.8362745807232855,7.3604060913705585,2.030456852791878,1.7058823529411764,0.21481481481481482,0.14593908629441624,3.3823529411764706,6.928168702102408,1.9112189523041125,3.0,3.0,30.0,7.0,27.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2004,Summer,AUS,AUS,Australia,50,17,16,17,100,20046679.0,958755875000.0,49061.277,601,33,219,2.4941787115960703,0.848020761942664,8.319467554076539,2.828618968386023,1.5151515151515151,0.228310502283105,0.16638935108153077,3.0303030303030303,5.215091902305162,1.7731312467837552,4.0,1.0,26.0,7.0,23.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2008,Summer,AUS,AUS,Australia,46,14,15,17,89,21370595.0,1129970500000.0,52473.383,570,31,219,2.152490372869824,0.6551057656560334,8.070175438596491,2.456140350877193,1.4838709677419355,0.2100456621004566,0.156140350877193,2.870967741935484,4.070902735956381,1.2389703978997681,5.0,4.0,31.0,9.0,28.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2012,Summer,AUS,AUS,Australia,35,7,16,12,65,22852648.0,1308736875000.0,54403.883,514,29,208,1.5315511795394563,0.3063102359078913,6.809338521400778,1.3618677042801557,1.206896551724138,0.16826923076923078,0.1264591439688716,2.2413793103448274,2.674334365339863,0.5348668730679725,7.0,11.0,36.0,11.0,36.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2016,Summer,AUS,AUS,Australia,29,8,11,10,56,24329963.0,1382104750000.0,56529.953,518,31,194,1.191945914590992,0.3288126660940668,5.598455598455598,1.5444015444015444,0.9354838709677419,0.14948453608247422,0.10810810810810811,1.8064516129032258,2.098249065419969,0.5788273283917156,8.0,12.0,50.0,15.0,47.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2020,Summer,AUS,AUS,Australia,46,17,7,22,87,25743787.0,1582895000000.0,57260.465,638,41,193,1.7868388982553343,0.6603535058769714,7.210031347962382,2.664576802507837,1.1219512195121952,0.23834196891191708,0.13636363636363635,2.1219512195121952,2.906067679789247,1.0739815338351566,6.0,11.0,46.0,9.0,45.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2024,Summer,AUS,AUS,Australia,52,18,18,16,106,,,60303.98,475,44,205,,,10.947368421052632,3.7894736842105265,1.1818181818181819,0.25365853658536586,0.2231578947368421,2.409090909090909,,,5.0,,37.0,10.0,35.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,0,0,0
1896,Summer,AUT,AUT,Austria,5,2,1,2,10,5739803.0,,,8,3,8,0.8711100363549062,0.3484440145419625,62.5,25.0,1.6666666666666667,0.625,1.25,3.3333333333333335,,,8.0,5.0,2.0,5.0,3.0,1,0,scale_and_efficiency_power,Efficiency metrics may be inflated by a small delegation or few entered events.,1,0,0
1900,Summer,AUT,AUT,Austria,6,0,3,3,9,5979176.0,,,26,4,17,1.0034827541453872,0.0,23.076923076923077,0.0,1.5,0.35294117647058826,0.34615384615384615,2.25,,,9.0,12.0,13.0,11.0,16.0,0,0,scale_and_efficiency_power,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,0,0
