year,season,noc,iso3,country_name,athletes,female_athletes,male_athletes,female_athlete_share,female_share,avg_age,median_age,avg_height,avg_weight,athlete_event_entries,sports_participated,events_participated
1904,Summer,GER,DEU,Germany,22,0,22,0.0,0.0,24.232558139534884,24.0,176.0,73.8,55,9,25
1904,Summer,GRE,GRC,Greece,14,0,14,0.0,0.0,24.0,24.0,182.75,77.5,17,3,5
1904,Summer,HUN,HUN,Hungary,4,0,4,0.0,0.0,21.555555555555557,21.0,187.0,83.0,9,2,9
1904,Summer,ITA,ITA,Italy,1,0,1,0.0,0.0,29.0,29.0,172.0,,1,1,1
1904,Summer,NFL,NFL,Canada,1,0,1,0.0,0.0,21.0,21.0,170.0,57.0,1,1,1
1904,Summer,NOR,NOR,Norway,3,0,3,0.0,0.0,23.833333333333332,22.0,173.0,,6,2,6
1904,Summer,RSA,ZAF,South Africa,8,0,8,0.0,0.0,,,,,8,2,2
1904,Summer,SUI,CHE,Switzerland,3,0,3,0.0,0.0,22.571428571428573,23.0,180.0,,7,2,4
1904,Summer,USA,USA,United States,524,6,518,0.011450381679389313,0.011450381679389313,27.00676437429538,24.0,175.77906976744185,71.6,1109,18,95
1906,Summer,AUS,AUS,Australia,4,0,4,0.0,0.0,24.5,24.0,172.2,62.0,10,2,9
1906,Summer,AUT,AUT,Austria,31,0,31,0.0,0.0,26.5,27.0,179.85714285714286,114.0,100,9,46
1906,Summer,BEL,BEL,Belgium,16,0,16,0.0,0.0,23.681818181818183,22.0,,79.0,31,7,22
1906,Summer,BOH,BOH,Czechia,13,0,13,0.0,0.0,24.666666666666668,25.0,,,29,6,22
1906,Summer,CAN,CAN,Canada,3,0,3,0.0,0.0,25.0,25.0,176.66666666666666,69.33333333333333,4,1,4
1906,Summer,CRT,CRT,Greece,8,0,8,0.0,0.0,,,,,11,2,5
1906,Summer,DEN,DNK,Denmark,49,0,49,0.0,0.0,24.907692307692308,24.0,,,68,8,24
1906,Summer,EGY,EGY,Egypt,2,0,2,0.0,0.0,,,,,5,3,5
1906,Summer,FIN,FIN,Finland,4,0,4,0.0,0.0,27.61111111111111,26.0,180.85714285714286,92.85714285714286,18,2,11
1906,Summer,FRA,FRA,France,56,1,55,0.017857142857142856,0.017857142857142856,33.16279069767442,30.0,172.28,68.6,174,11,51
1906,Summer,GBR,GBR,United Kingdom,48,0,48,0.0,0.0,28.54639175257732,25.0,178.62962962962962,72.66666666666667,113,9,42
1906,Summer,GER,DEU,Germany,49,0,49,0.0,0.0,26.189655172413794,25.0,179.97560975609755,75.97560975609755,157,9,41
1906,Summer,GRE,GRC,Greece,312,5,307,0.016025641025641024,0.016025641025641024,30.271186440677965,29.0,182.44444444444446,88.66666666666667,484,13,70
1906,Summer,HUN,HUN,Hungary,35,0,35,0.0,0.0,22.015873015873016,23.0,180.83333333333334,76.57142857142857,99,7,41
1906,Summer,ITA,ITA,Italy,76,0,76,0.0,0.0,21.97142857142857,23.0,171.0,98.0,103,9,37
1906,Summer,NED,NLD,Netherlands,16,0,16,0.0,0.0,25.632653061224488,25.0,,,49,2,8
1906,Summer,NOR,NOR,Norway,32,0,32,0.0,0.0,27.490909090909092,27.0,172.5,80.0,55,3,12
1906,Summer,SUI,CHE,Switzerland,9,0,9,0.0,0.0,34.888888888888886,32.0,172.66666666666666,,45,3,14
1906,Summer,SWE,SWE,Sweden,39,0,39,0.0,0.0,24.926315789473684,24.0,179.23809523809524,78.75862068965517,95,8,37
1906,Summer,TUR,TUR,Turkey,1,0,1,0.0,0.0,13.0,13.0,173.0,71.0,2,1,2
1906,Summer,USA,USA,United States,38,0,38,0.0,0.0,24.91358024691358,24.0,180.27118644067798,71.52542372881356,81,5,28
1908,Summer,ANZ,ANZ,Australia,30,0,30,0.0,0.0,23.74418604651163,24.0,175.45454545454547,67.0,48,6,20
1908,Summer,ARG,ARG,Argentina,1,0,1,0.0,0.0,,,,,1,1,1
1908,Summer,AUT,AUT,Austria,7,0,7,0.0,0.0,23.0,22.0,180.0,72.0,13,4,10
1908,Summer,BEL,BEL,Belgium,70,0,70,0.0,0.0,26.615384615384617,26.0,176.25,70.4,99,11,33
1908,Summer,BOH,BOH,Czechia,19,0,19,0.0,0.0,26.392857142857142,24.0,,,41,5,15
1908,Summer,CAN,CAN,Canada,87,0,87,0.0,0.0,26.712,26.0,178.53846153846155,73.5,148,11,42
1908,Summer,DEN,DNK,Denmark,78,0,78,0.0,0.0,25.5,24.0,168.33333333333334,75.75,107,8,27
1908,Summer,FIN,FIN,Finland,62,0,62,0.0,0.0,24.49462365591398,23.0,180.0,80.8409090909091,94,6,23
1908,Summer,FRA,FRA,France,208,0,208,0.0,0.0,28.797687861271676,26.0,174.77777777777777,71.25,319,13,54
1908,Summer,GBR,GBR,United Kingdom,735,39,696,0.053061224489795916,0.053061224489795916,30.055141579731742,28.0,173.6829268292683,76.03418803418803,972,24,108
1908,Summer,GER,DEU,Germany,82,2,80,0.024390243902439025,0.024390243902439025,25.212389380530972,23.0,175.72727272727272,68.45833333333333,148,12,41
1908,Summer,GRE,GRC,Greece,20,0,20,0.0,0.0,27.571428571428573,26.0,179.6,85.15384615384616,49,3,25
1908,Summer,HUN,HUN,Hungary,65,0,65,0.0,0.0,22.98936170212766,23.0,182.75,74.04166666666667,107,8,37
1908,Summer,ISL,ISL,Iceland,1,0,1,0.0,0.0,24.0,24.0,174.0,,1,1,1
1908,Summer,ITA,ITA,Italy,66,0,66,0.0,0.0,23.011904761904763,22.0,178.25,72.75,97,8,30
1908,Summer,NED,NLD,Netherlands,113,0,113,0.0,0.0,25.701834862385322,24.0,188.2,74.0,218,11,45
1908,Summer,NOR,NOR,Norway,69,0,69,0.0,0.0,26.87378640776699,25.0,173.6,74.70588235294117,103,7,23
1908,Summer,RSA,ZAF,South Africa,14,0,14,0.0,0.0,26.59090909090909,24.0,170.0,61.0,33,4,15
1908,Summer,RUS,RUS,Russia,6,0,6,0.0,0.0,33.0,34.0,177.0,91.0,7,3,7
1908,Summer,SUI,CHE,Switzerland,1,0,1,0.0,0.0,25.0,25.0,185.0,82.0,1,1,1
1908,Summer,SWE,SWE,Sweden,168,3,165,0.017857142857142856,0.017857142857142856,25.369565217391305,24.0,178.2549019607843,76.84210526315789,276,14,67
1908,Summer,USA,USA,United States,122,0,122,0.0,0.0,26.364485981308412,24.0,179.47619047619048,76.14893617021276,219,10,52
1912,Summer,ANZ,ANZ,Australia,25,2,23,0.08,0.08,24.81578947368421,23.0,183.75,78.66666666666667,38,4,17
1912,Summer,AUT,AUT,Austria,85,6,79,0.07058823529411765,0.07058823529411765,25.748091603053435,24.0,181.14285714285714,72.08333333333333,132,12,46
1912,Summer,BEL,BEL,Belgium,36,1,35,0.027777777777777776,0.027777777777777776,28.060606060606062,29.0,180.0,80.75,72,9,23
1912,Summer,BOH,BOH,Czechia,43,0,43,0.0,0.0,24.70769230769231,24.0,174.0,,74,8,26
1912,Summer,CAN,CAN,Canada,37,0,37,0.0,0.0,25.982758620689655,25.0,177.73076923076923,75.6,60,7,30
1912,Summer,CHI,CHL,Chile,14,0,14,0.0,0.0,26.153846153846153,22.0,174.0,,28,4,16
1912,Summer,DEN,DNK,Denmark,152,1,151,0.006578947368421052,0.006578947368421052,27.012875536480685,26.0,171.4,68.5,233,13,46
1912,Summer,FIN,FIN,Finland,164,2,162,0.012195121951219513,0.012195121951219513,27.120171673819744,24.0,176.27586206896552,73.58333333333333,233,10,49
1912,Summer,FRA,FRA,France,119,1,118,0.008403361344537815,0.008403361344537815,30.882608695652173,28.0,174.42,77.23529411764706,232,13,66
1912,Summer,GBR,GBR,United Kingdom,274,10,264,0.0364963503649635,0.0364963503649635,29.478935698447895,27.0,174.7872340425532,73.25531914893617,461,16,79
1912,Summer,GER,DEU,Germany,185,5,180,0.02702702702702703,0.02702702702702703,26.02317880794702,24.0,180.55555555555554,72.61363636363636,312,14,69
1912,Summer,GRE,GRC,Greece,22,0,22,0.0,0.0,38.16,42.0,183.0,93.5,77,5,25
1912,Summer,HUN,HUN,Hungary,121,0,121,0.0,0.0,25.475490196078432,24.0,177.06666666666666,69.0,207,11,52
1912,Summer,ISL,ISL,Iceland,2,0,2,0.0,0.0,23.0,23.0,,,2,2,2
1912,Summer,ITA,ITA,Italy,66,0,66,0.0,0.0,23.096385542168676,22.0,179.88888888888889,70.0,96,8,36
1912,Summer,JPN,JPN,Japan,2,0,2,0.0,0.0,24.5,26.0,170.0,64.0,4,1,4
1912,Summer,LUX,LUX,Luxembourg,21,0,21,0.0,0.0,24.295454545454547,24.0,,,44,2,6
1912,Summer,NED,NLD,Netherlands,33,0,33,0.0,0.0,27.22222222222222,29.0,,,45,7,14
1912,Summer,NOR,NOR,Norway,190,2,188,0.010526315789473684,0.010526315789473684,27.007604562737644,25.0,175.3111111111111,70.15555555555555,263,14,58
1912,Summer,POL,POL,Poland,1,0,1,0.0,0.0,35.0,35.0,,,1,1,1
1912,Summer,POR,PRT,Portugal,6,0,6,0.0,0.0,21.142857142857142,21.0,,59.0,8,3,8
1912,Summer,RSA,ZAF,South Africa,21,0,21,0.0,0.0,30.964285714285715,33.0,176.5,67.25,56,6,21
1912,Summer,RUS,RUS,Russia,159,0,159,0.0,0.0,28.572139303482587,26.0,173.2173913043478,71.11904761904762,266,15,62
1912,Summer,SRB,SRB,Serbia,2,0,2,0.0,0.0,19.0,19.0,171.5,65.0,2,1,2
1912,Summer,SUI,CHE,Switzerland,7,0,7,0.0,0.0,39.42857142857143,40.0,185.0,82.0,7,2,3
1912,Summer,SWE,SWE,Sweden,444,23,421,0.0518018018018018,0.0518018018018018,26.963534361851334,25.0,177.5179856115108,73.60176991150442,714,16,95
1912,Summer,TUR,TUR,Turkey,2,0,2,0.0,0.0,26.142857142857142,29.0,173.0,71.0,7,1,7
1912,Summer,UNK,UNK,Unknown,2,0,2,0.0,0.0,,,,,2,1,1
1912,Summer,USA,USA,United States,174,0,174,0.0,0.0,28.132596685082873,25.0,179.1605504587156,73.62222222222222,364,11,68
1920,Summer,ARG,ARG,Argentina,1,0,1,0.0,0.0,,,,,1,1,1
1920,Summer,AUS,AUS,Australia,13,1,12,0.07692307692307693,0.07692307692307693,24.636363636363637,25.0,175.73333333333332,68.0,29,5,19
1920,Summer,BEL,BEL,Belgium,336,10,326,0.02976190476190476,0.02976190476190476,30.848920863309353,29.0,176.38888888888889,74.58333333333333,518,23,121
1920,Summer,BRA,BRA,Brazil,19,0,19,0.0,0.0,35.42857142857143,35.0,174.5,,38,5,10
1920,Summer,CAN,CAN,Canada,52,0,52,0.0,0.0,26.470588235294116,23.5,172.6216216216216,75.78571428571429,85,9,39
1920,Summer,CHI,CHL,Chile,2,0,2,0.0,0.0,27.0,27.0,168.0,73.0,2,1,2
1920,Summer,DEN,DNK,Denmark,154,4,150,0.025974025974025976,0.025974025974025976,28.827868852459016,27.0,170.0,,246,14,66
1920,Summer,EGY,EGY,Egypt,18,0,18,0.0,0.0,27.75,29.0,,74.0,22,6,11
1920,Summer,ESP,ESP,Spain,58,0,58,0.0,0.0,28.0188679245283,24.0,177.16666666666666,70.66666666666667,111,7,29
1920,Summer,EST,EST,Estonia,14,0,14,0.0,0.0,25.45,24.5,173.58333333333334,71.71428571428571,20,3,19
1920,Summer,FIN,FIN,Finland,63,1,62,0.015873015873015872,0.015873015873015872,31.88235294117647,31.0,176.1290322580645,73.41935483870968,136,9,51
1920,Summer,FRA,FRA,France,304,8,296,0.02631578947368421,0.02631578947368421,31.227138643067846,30.0,171.8409090909091,69.86206896551724,452,23,113
1920,Summer,GBR,GBR,United Kingdom,234,16,218,0.06837606837606838,0.06837606837606838,30.387900355871885,30.0,176.58490566037736,75.11904761904762,345,21,84
1920,Summer,GRE,GRC,Greece,47,0,47,0.0,0.0,28.88888888888889,31.0,178.0,72.5,98,8,34
1920,Summer,IND,IND,India,5,0,5,0.0,0.0,,,,,7,2,6
1920,Summer,ITA,ITA,Italy,174,1,173,0.005747126436781609,0.005747126436781609,27.202898550724637,26.0,179.65,75.6923076923077,291,18,79
1920,Summer,JPN,JPN,Japan,15,0,15,0.0,0.0,24.692307692307693,25.0,164.66666666666666,60.666666666666664,26,4,15
1920,Summer,LUX,LUX,Luxembourg,25,0,25,0.0,0.0,23.3125,23.0,176.0,91.25,35,6,18
1920,Summer,MON,MCO,Monaco,4,0,4,0.0,0.0,24.285714285714285,21.0,,,7,2,6
1920,Summer,NED,NLD,Netherlands,130,1,129,0.007692307692307693,0.007692307692307693,31.568075117370892,30.0,184.0,78.0,213,15,58
1920,Summer,NOR,NOR,Norway,193,6,187,0.031088082901554404,0.031088082901554404,30.928838951310862,30.0,176.88,75.54545454545455,267,16,72
1920,Summer,NZL,NZL,New Zealand,4,1,3,0.25,0.25,20.833333333333332,21.0,165.0,,6,3,6
1920,Summer,POR,PRT,Portugal,13,0,13,0.0,0.0,30.0,30.0,183.0,,40,2,7
1920,Summer,RSA,ZAF,South Africa,39,1,38,0.02564102564102564,0.02564102564102564,30.48611111111111,26.0,177.33333333333334,67.5,97,7,34
1920,Summer,SUI,CHE,Switzerland,77,0,77,0.0,0.0,30.164383561643834,28.0,175.0,72.5,126,13,45
1920,Summer,SWE,SWE,Sweden,260,13,247,0.05,0.05,28.284653465346533,27.0,176.9090909090909,71.55932203389831,404,18,100
1920,Summer,TCH,TCH,Czechia,119,1,118,0.008403361344537815,0.008403361344537815,29.25242718446602,28.0,171.45454545454547,70.0,182,13,53
1920,Summer,USA,USA,United States,288,14,274,0.04861111111111111,0.04861111111111111,27.18895966029724,25.0,176.75409836065575,74.17482517482517,473,18,113
1920,Summer,YUG,YUG,Serbia,15,0,15,0.0,0.0,22.2,22.0,,,15,1,1
1924,Summer,ARG,ARG,Argentina,77,0,77,0.0,0.0,25.116666666666667,22.5,176.5,77.2,109,11,39
1924,Summer,AUS,AUS,Australia,36,1,35,0.027777777777777776,0.027777777777777776,26.0,26.5,177.3181818181818,68.73333333333333,60,9,31
1924,Summer,AUT,AUT,Austria,49,3,46,0.061224489795918366,0.061224489795918366,28.766666666666666,25.0,178.0,76.33333333333333,56,8,27
1924,Summer,BEL,BEL,Belgium,172,6,166,0.03488372093023256,0.03488372093023256,30.987261146496817,29.0,177.21428571428572,72.05555555555556,234,17,82
1924,Summer,BRA,BRA,Brazil,12,0,12,0.0,0.0,23.142857142857142,22.0,182.0,70.0,18,4,15
1924,Summer,BUL,BGR,Bulgaria,24,0,24,0.0,0.0,23.142857142857142,21.5,172.0,66.0,31,4,12
1924,Summer,CAN,CAN,Canada,65,0,65,0.0,0.0,26.569444444444443,23.5,174.8421052631579,80.8,83,8,39
