noc,iso3,country_name,sport,year,total_medals,gold_medals,prev_total_medals,prev_gold_medals,rolling3_prev_medals,medal_growth,gold_growth,above_recent_baseline,first_medal_bonus,continuity_bonus,sport_total_medals,sport_total_growth,sport_expansion_penalty,olympic_leap_index
USA,USA,United States,Swimming,1968,52,21,29.0,13.0,18.333333333333332,23.0,8.0,33.66666666666667,0,1.0,95,41.0,41.0,31.749392995920314
URS,URS,Soviet Union,Athletics,1980,41,15,18.0,4.0,16.0,23.0,11.0,25.0,0,1.0,114,-33.0,0.0,28.24712014384099
CHN,CHN,China,Gymnastics,2008,14,9,3.0,1.0,5.333333333333333,11.0,8.0,8.666666666666668,0,1.0,42,0.0,0.0,24.17105637592952
GDR,DEU,Germany,Swimming,1988,28,11,3.0,1.0,5.666666666666667,25.0,10.0,22.333333333333332,0,1.0,125,39.0,39.0,23.749871822245723
EUN,EUN,Unified Team,Athletics,1992,21,7,0.0,0.0,0.0,21.0,7.0,21.0,1,0.0,131,-27.0,0.0,23.050662305968135
GDR,DEU,Germany,Swimming,1976,19,11,2.0,0.0,4.333333333333333,17.0,11.0,14.666666666666668,0,1.0,99,-1.0,0.0,22.91300970783204
EUN,EUN,Unified Team,Gymnastics,1992,18,9,0.0,0.0,0.0,18.0,9.0,18.0,1,0.0,47,-5.0,0.0,22.752712421049885
GBR,GBR,United Kingdom,Cycling,2008,14,8,4.0,2.0,3.3333333333333335,10.0,6.0,10.666666666666666,0,1.0,54,0.0,0.0,22.736167561057698
GDR,DEU,Germany,Athletics,1976,27,11,9.0,1.0,12.666666666666666,18.0,10.0,14.333333333333334,0,1.0,147,2.0,2.0,22.093346141580266
URS,URS,Soviet Union,Gymnastics,1952,21,9,0.0,0.0,0.0,21.0,9.0,21.0,1,1.0,45,19.0,19.0,21.334265659387952
USA,USA,United States,Swimming,1964,29,13,15.0,9.0,11.666666666666666,14.0,4.0,17.333333333333336,0,1.0,54,9.0,9.0,20.25699589254541
USA,USA,United States,Athletics,2024,34,14,26.0,7.0,28.666666666666668,8.0,7.0,5.333333333333332,0,0.0,145,1.0,1.0,19.915885524039837
AUS,AUS,Australia,Swimming,1956,14,8,1.0,1.0,2.3333333333333335,13.0,7.0,11.666666666666666,0,1.0,39,6.0,6.0,19.787629389368206
USA,USA,United States,Athletics,1984,40,16,22.0,6.0,24.0,18.0,10.0,16.0,0,1.0,125,11.0,11.0,19.453981598366834
GDR,DEU,Germany,Athletics,1988,27,6,4.0,0.0,6.333333333333333,23.0,6.0,20.666666666666668,0,1.0,158,33.0,33.0,19.427848932329656
EUN,EUN,Unified Team,Wrestling,1992,16,6,0.0,0.0,0.0,16.0,6.0,16.0,1,0.0,60,-2.0,0.0,18.197345235503693
AUS,AUS,Australia,Swimming,2020,20,9,10.0,3.0,13.333333333333334,10.0,6.0,6.666666666666666,0,1.0,105,1.0,1.0,18.126218918837495
KEN,KEN,Kenya,Athletics,2008,15,6,7.0,1.0,7.333333333333333,8.0,5.0,7.666666666666667,0,1.0,140,4.0,4.0,17.28900744696501
URS,URS,Soviet Union,Swimming,1980,22,8,9.0,1.0,7.333333333333333,13.0,7.0,14.666666666666668,0,1.0,78,-21.0,0.0,16.762544418024508
USA,USA,United States,Athletics,1900,39,16,16.0,9.0,16.0,23.0,7.0,23.0,0,1.0,69,34.0,34.0,16.5591786010736
RUS,RUS,Russia,Athletics,1996,10,3,0.0,0.0,0.0,10.0,3.0,10.0,1,1.0,132,1.0,1.0,16.276194463167357
GER,DEU,Germany,Athletics,1936,16,5,5.0,0.0,5.333333333333333,11.0,5.0,10.666666666666668,0,1.0,87,0.0,0.0,15.67855127288576
AUS,AUS,Australia,Swimming,2000,18,5,12.0,2.0,8.0,6.0,3.0,10.0,0,1.0,95,-1.0,0.0,15.521241150225775
AUS,AUS,Australia,Cycling,2004,11,6,6.0,1.0,5.333333333333333,5.0,5.0,5.666666666666667,0,1.0,54,1.0,1.0,15.322928034871932
USA,USA,United States,Athletics,2016,32,13,28.0,9.0,25.333333333333332,4.0,4.0,6.666666666666668,0,1.0,141,-2.0,0.0,15.11578970563681
RUS,RUS,Russia,Athletics,2004,19,6,13.0,3.0,11.5,6.0,3.0,7.5,0,1.0,136,-3.0,0.0,15.084905144026326
RUS,RUS,Russia,Swimming,1996,8,4,0.0,0.0,0.0,8.0,4.0,8.0,1,1.0,96,3.0,3.0,14.880852048916562
GER,DEU,Germany,Gymnastics,1936,13,6,2.0,0.0,6.0,11.0,6.0,7.0,0,1.0,28,-5.0,0.0,14.64047495529249
USA,USA,United States,Athletics,1896,16,9,0.0,0.0,0.0,16.0,9.0,16.0,1,1.0,35,35.0,35.0,14.409070439153938
NED,NLD,Netherlands,Swimming,2000,8,5,2.0,0.0,3.0,6.0,5.0,5.0,0,1.0,95,-1.0,0.0,14.363118488614438
URS,URS,Soviet Union,Athletics,1952,17,2,0.0,0.0,0.0,17.0,2.0,17.0,1,1.0,99,0.0,0.0,14.332523199030636
USA,USA,United States,Athletics,1932,35,16,25.0,9.0,28.666666666666668,10.0,7.0,6.333333333333332,0,1.0,87,6.0,6.0,14.147250334128191
RUS,RUS,Russia,Gymnastics,1996,8,3,0.0,0.0,0.0,8.0,3.0,8.0,1,1.0,44,-3.0,0.0,14.033819834248785
SWE,SWE,Sweden,Athletics,1948,13,5,2.0,0.0,3.3333333333333335,11.0,5.0,9.666666666666666,0,1.0,99,12.0,12.0,13.869529070529328
GDR,DEU,Germany,Rowing,1976,14,9,4.0,0.0,5.0,10.0,9.0,9.0,0,1.0,60,30.0,30.0,13.76390677987738
USA,USA,United States,Swimming,1920,16,8,4.0,2.0,2.3333333333333335,12.0,6.0,13.666666666666666,0,1.0,30,3.0,3.0,13.649879977102108
EUN,EUN,Unified Team,Swimming,1992,10,6,0.0,0.0,0.0,10.0,6.0,10.0,1,0.0,93,-32.0,0.0,13.579844915881944
JPN,JPN,Japan,Swimming,1932,12,5,3.0,1.0,3.0,9.0,4.0,9.0,0,1.0,33,0.0,0.0,13.506062378281024
TUR,TUR,Turkey,Wrestling,1948,11,6,2.0,1.0,2.0,9.0,5.0,9.0,0,1.0,48,6.0,6.0,13.410323734295106
UZB,UZB,Uzbekistan,Boxing,2016,7,3,1.0,0.0,2.0,6.0,3.0,5.0,0,1.0,51,-1.0,0.0,13.233184822104441
FRA,FRA,France,Cycling,1996,9,5,2.0,0.0,1.6666666666666667,7.0,5.0,7.333333333333333,0,1.0,42,12.0,12.0,13.16052367433781
RUS,RUS,Russia,Fencing,1996,7,4,0.0,0.0,0.0,7.0,4.0,7.0,1,1.0,30,6.0,6.0,13.123405768779216
GDR,DEU,Germany,Athletics,1972,20,8,11.0,6.0,9.333333333333334,9.0,2.0,10.666666666666666,0,1.0,145,23.0,23.0,13.069056523949106
USA,USA,United States,Gymnastics,1984,16,5,1.0,0.0,6.0,15.0,5.0,10.0,0,1.0,43,-2.0,0.0,13.030170660443403
CHN,CHN,China,Swimming,2012,10,5,6.0,1.0,4.666666666666667,4.0,4.0,5.333333333333333,0,1.0,102,-2.0,0.0,13.011713237772218
CHN,CHN,China,Artistic Gymnastics,2020,8,3,0.0,0.0,0.0,8.0,3.0,8.0,1,1.0,43,43.0,43.0,12.891490800811916
USA,USA,United States,Shooting,1920,23,13,14.0,7.0,7.666666666666667,9.0,6.0,15.333333333333332,0,1.0,63,9.0,9.0,12.859168300132842
RUS,RUS,Russia,Fencing,2016,7,4,3.0,0.0,2.6666666666666665,4.0,4.0,4.333333333333334,0,1.0,30,0.0,0.0,12.771338206844684
CHN,CHN,China,Gymnastics,1984,11,5,0.0,0.0,0.0,11.0,5.0,11.0,1,1.0,43,-2.0,0.0,12.754485359769372
URS,URS,Soviet Union,Wrestling,1952,10,6,0.0,0.0,0.0,10.0,6.0,10.0,1,1.0,48,0.0,0.0,12.745417699343555
GBR,GBR,United Kingdom,Boxing,1908,14,5,0.0,0.0,0.0,14.0,5.0,14.0,1,1.0,15,-3.0,0.0,12.694716389299684
FRA,FRA,France,Swimming,2024,7,4,1.0,0.0,3.6666666666666665,6.0,4.0,3.3333333333333335,0,0.0,100,-5.0,0.0,12.564990706205664
USA,USA,United States,Gymnastics,2004,9,2,1.0,0.0,4.0,8.0,2.0,5.0,0,1.0,42,0.0,0.0,12.412878379293694
RUS,RUS,Russia,Gymnastics,2000,15,5,8.0,3.0,8.0,7.0,2.0,7.0,0,1.0,42,-2.0,0.0,12.246859557517913
SWE,SWE,Sweden,Shooting,1912,17,7,5.0,2.0,3.5,12.0,5.0,13.5,0,1.0,54,9.0,9.0,12.231054450850275
GBR,GBR,United Kingdom,Shooting,1908,21,6,4.0,2.0,4.0,17.0,4.0,17.0,0,1.0,45,9.0,9.0,12.21387551145049
USA,USA,United States,Wrestling,1984,13,9,6.0,1.0,4.666666666666667,7.0,8.0,8.333333333333332,0,1.0,60,0.0,0.0,12.212564136128993
USA,USA,United States,Swimming,1948,15,8,8.0,2.0,9.666666666666666,7.0,6.0,5.333333333333334,0,1.0,33,0.0,0.0,12.172371897755479
RUS,RUS,Russia,Wrestling,1996,7,4,1.0,0.0,1.5,6.0,4.0,5.5,0,1.0,60,0.0,0.0,12.148878193891726
FRA,FRA,France,Sailing,1900,17,5,0.0,0.0,0.0,17.0,5.0,17.0,1,1.0,31,31.0,31.0,11.928018964559522
POL,POL,Poland,Athletics,2020,9,4,3.0,1.0,2.3333333333333335,6.0,3.0,6.666666666666666,0,1.0,144,3.0,3.0,11.869313758548012
GBR,GBR,United Kingdom,Cycling Track,2020,7,3,0.0,0.0,0.0,7.0,3.0,7.0,1,1.0,36,36.0,36.0,11.852110345794685
EUN,EUN,Unified Team,Weightlifting,1992,9,5,0.0,0.0,0.0,9.0,5.0,9.0,1,0.0,29,-7.0,0.0,11.804861391832004
URS,URS,Soviet Union,Wrestling,1972,14,9,9.0,3.0,9.666666666666666,5.0,6.0,4.333333333333334,0,1.0,63,12.0,12.0,11.789196567481037
JPN,JPN,Japan,Swimming,2004,8,3,4.0,0.0,2.0,4.0,3.0,6.0,0,1.0,97,2.0,2.0,11.771645544585065
FIN,FIN,Finland,Athletics,1912,13,6,1.0,0.0,1.5,12.0,6.0,11.5,0,1.0,93,15.0,15.0,11.590272842630554
USA,USA,United States,Athletics,2012,28,9,23.0,7.0,21.333333333333332,5.0,2.0,6.666666666666668,0,1.0,143,3.0,3.0,11.417624078551023
NED,NLD,Netherlands,Athletics,2020,8,2,1.0,0.0,1.0,7.0,2.0,7.0,0,1.0,144,3.0,3.0,11.307967591546655
GDR,DEU,Germany,Rowing,1988,10,8,3.0,1.0,3.0,7.0,7.0,7.0,0,1.0,55,13.0,13.0,11.099449251733903
GER,DEU,Germany,Art Competitions,1936,12,5,3.0,1.0,4.0,9.0,4.0,8.0,0,0.0,32,9.0,9.0,11.060036601947504
IRI,IRN,Iran,Wrestling,2012,6,3,1.0,0.0,1.6666666666666667,5.0,3.0,4.333333333333333,0,1.0,72,1.0,1.0,11.045745223703602
ROC,ROC,Russia,Artistic Gymnastics,2020,8,2,0.0,0.0,0.0,8.0,2.0,8.0,1,0.0,43,43.0,43.0,11.038179192615484
EUN,EUN,Unified Team,Shooting,1992,8,5,0.0,0.0,0.0,8.0,5.0,8.0,1,0.0,39,-5.0,0.0,11.035278005228378
NED,NLD,Netherlands,Rowing,2024,8,4,5.0,1.0,3.0,3.0,3.0,5.0,0,0.0,42,0.0,0.0,10.89839764207066
JPN,JPN,Japan,Wrestling,2024,11,8,7.0,5.0,6.666666666666667,4.0,3.0,4.333333333333333,0,0.0,72,0.0,0.0,10.869019210134649
BUL,BGR,Bulgaria,Weightlifting,1972,6,3,0.0,0.0,0.0,6.0,3.0,6.0,1,1.0,30,9.0,9.0,10.82248513160831
ITA,ITA,Italy,Swimming,2000,6,3,1.0,0.0,1.3333333333333333,5.0,3.0,4.666666666666667,0,1.0,95,-1.0,0.0,10.668750868877718
ITA,ITA,Italy,Athletics,2020,5,5,1.0,0.0,2.0,4.0,5.0,3.0,0,1.0,144,3.0,3.0,10.628977351582089
GER,DEU,Germany,Cycling,2000,10,3,2.0,1.0,4.666666666666667,8.0,2.0,5.333333333333333,0,1.0,53,11.0,11.0,10.592618491969938
GDR,DEU,Germany,Swimming,1980,30,12,19.0,11.0,13.333333333333334,11.0,1.0,16.666666666666664,0,1.0,78,-21.0,0.0,10.553886108351973
HUN,HUN,Hungary,Canoe Sprint,2020,6,3,0.0,0.0,0.0,6.0,3.0,6.0,1,1.0,36,36.0,36.0,10.53502740660658
NED,NLD,Netherlands,Cycling Track,2020,6,3,0.0,0.0,0.0,6.0,3.0,6.0,1,1.0,36,36.0,36.0,10.53502740660658
KOR,KOR,South Korea,Shooting,2024,6,3,1.0,0.0,2.6666666666666665,5.0,3.0,3.3333333333333335,0,0.0,45,0.0,0.0,10.478858620915378
GBR,GBR,United Kingdom,Rowing,2024,8,3,2.0,0.0,5.333333333333333,6.0,3.0,2.666666666666667,0,0.0,42,0.0,0.0,10.449480188979367
JPN,JPN,Japan,Wrestling,1964,6,5,1.0,0.0,2.0,5.0,5.0,4.0,0,1.0,48,0.0,0.0,10.438985490254387
UKR,UKR,Ukraine,Gymnastics,1996,5,3,0.0,0.0,0.0,5.0,3.0,5.0,1,1.0,44,-3.0,0.0,10.3975754770089
RUS,RUS,Russia,Shooting,2004,10,3,6.0,1.0,4.666666666666667,4.0,2.0,5.333333333333333,0,1.0,51,0.0,0.0,10.37629494130825
USA,USA,United States,Swimming,1960,15,9,11.0,2.0,11.666666666666666,4.0,7.0,3.333333333333334,0,1.0,45,6.0,6.0,10.340908087008483
CAN,CAN,Canada,Athletics,1928,8,4,1.0,1.0,4.0,7.0,3.0,4.0,0,1.0,81,0.0,0.0,10.197699519830588
GER,DEU,Germany,Athletics,1928,9,1,2.0,0.0,2.0,7.0,1.0,7.0,0,1.0,81,0.0,0.0,10.185710912301394
JPN,JPN,Japan,Skateboarding,2020,5,3,0.0,0.0,0.0,5.0,3.0,5.0,1,1.0,12,12.0,12.0,10.17006727029004
USA,USA,United States,Athletics,2004,25,9,16.0,7.0,23.0,9.0,2.0,2.0,0,1.0,136,-3.0,0.0,10.139278591095033
JPN,JPN,Japan,Judo,2016,12,3,7.0,1.0,8.0,5.0,2.0,4.0,0,1.0,56,0.0,0.0,10.111830998750994
KOR,KOR,South Korea,Fencing,2012,6,2,1.0,0.0,1.5,5.0,2.0,4.5,0,1.0,30,0.0,0.0,10.108887791418375
JPN,JPN,Japan,Judo,2020,12,9,12.0,3.0,8.666666666666666,0.0,6.0,3.333333333333334,0,1.0,60,4.0,4.0,10.08754915652782
USA,USA,United States,Gymnastics,1904,28,10,0.0,0.0,0.0,28.0,10.0,28.0,1,1.0,35,32.0,32.0,10.070506150465526
GER,DEU,Germany,Athletics,2012,8,1,1.0,0.0,2.6666666666666665,7.0,1.0,5.333333333333334,0,1.0,143,3.0,3.0,10.006724693755606
GDR,DEU,Germany,Gymnastics,1972,9,3,4.0,0.0,3.3333333333333335,5.0,3.0,5.666666666666666,0,1.0,51,5.0,5.0,9.804152452001519
USA,USA,United States,Athletics,1904,65,22,39.0,16.0,27.5,26.0,6.0,37.5,0,1.0,72,3.0,3.0,9.780783987188716
UZB,UZB,Uzbekistan,Boxing,2024,5,5,1.0,1.0,3.0,4.0,4.0,2.0,0,0.0,52,0.0,0.0,9.737490311811602
CHN,CHN,China,Badminton,2000,8,4,4.0,1.0,4.0,4.0,3.0,4.0,0,1.0,15,0.0,0.0,9.56650873731619
AUS,AUS,Australia,Athletics,1956,12,4,4.0,3.0,3.6666666666666665,8.0,1.0,8.333333333333334,0,1.0,100,1.0,1.0,9.555451458541013
NOR,NOR,Norway,Shooting,1920,11,5,2.0,0.0,2.0,9.0,5.0,9.0,0,1.0,63,9.0,9.0,9.512060576809244
GBR,GBR,United Kingdom,Athletics,1980,10,4,1.0,0.0,3.0,9.0,4.0,7.0,0,1.0,114,-33.0,0.0,9.477874565548866
KEN,KEN,Kenya,Athletics,1968,8,3,1.0,0.0,1.0,7.0,3.0,7.0,0,1.0,122,14.0,14.0,9.38712377147854
FRA,FRA,France,Archery,1900,13,4,0.0,0.0,0.0,13.0,4.0,13.0,1,1.0,20,20.0,20.0,9.246813191356905
KEN,KEN,Kenya,Athletics,2016,13,6,11.0,2.0,11.0,2.0,4.0,2.0,0,1.0,141,-2.0,0.0,9.15449189125905
AZE,AZE,Azerbaijan,Wrestling,2012,7,2,4.0,0.0,2.0,3.0,2.0,5.0,0,1.0,72,1.0,1.0,9.09823019608502
URS,URS,Soviet Union,Fencing,1960,7,3,2.0,0.0,2.0,5.0,3.0,5.0,0,1.0,24,3.0,3.0,9.062404322048558
GBR,GBR,United Kingdom,Rowing,2012,9,4,6.0,2.0,4.333333333333333,3.0,2.0,4.666666666666667,0,1.0,42,0.0,0.0,9.036992331620892
USA,USA,United States,Weightlifting,1948,8,4,1.0,1.0,2.0,7.0,3.0,6.0,0,1.0,18,3.0,3.0,8.97720165979088
CAN,CAN,Canada,Athletics,2016,6,1,1.0,0.0,1.6666666666666667,5.0,1.0,4.333333333333333,0,1.0,141,-2.0,0.0,8.966361154532656
USA,USA,United States,Gymnastics,1932,16,5,1.0,1.0,14.5,15.0,4.0,1.5,0,1.0,33,9.0,9.0,8.955840371557859
ITA,ITA,Italy,Boxing,1960,7,3,2.0,0.0,3.3333333333333335,5.0,3.0,3.6666666666666665,0,1.0,40,0.0,0.0,8.930763916859748
USA,USA,United States,Artistic Gymnastics,2020,6,2,0.0,0.0,0.0,6.0,2.0,6.0,1,1.0,43,43.0,43.0,8.904013314239279
FRG,DEU,Germany,Athletics,1972,11,6,6.0,2.0,6.666666666666667,5.0,4.0,4.333333333333333,0,1.0,145,23.0,23.0,8.866428527937272
FRA,FRA,France,Boxing,2016,6,2,3.0,0.0,2.0,3.0,2.0,4.0,0,1.0,51,-1.0,0.0,8.839436181957488
GBR,GBR,United Kingdom,Equestrianism,2012,5,3,2.0,0.0,2.0,3.0,3.0,3.0,0,1.0,18,0.0,0.0,8.787589205701728
TUR,TUR,Turkey,Weightlifting,2004,5,3,1.0,1.0,1.3333333333333333,4.0,2.0,3.666666666666667,0,1.0,45,0.0,0.0,8.786154571196812
URS,URS,Soviet Union,Canoeing,1956,7,2,1.0,0.0,1.0,6.0,2.0,6.0,0,1.0,27,0.0,0.0,8.772518562883649
SUI,CHE,Switzerland,Gymnastics,1928,9,5,7.0,2.0,4.0,2.0,3.0,5.0,0,1.0,24,-3.0,0.0,8.726413483208761
ETH,ETH,Ethiopia,Athletics,2000,8,4,3.0,2.0,3.3333333333333335,5.0,2.0,4.666666666666666,0,1.0,139,7.0,7.0,8.677885794913385
USA,USA,United States,Shooting,1912,14,7,6.0,3.0,4.5,8.0,4.0,9.5,0,1.0,54,9.0,9.0,8.669814319330165
IRL,IRL,Ireland,Swimming,1996,4,3,0.0,0.0,0.0,4.0,3.0,4.0,1,1.0,96,3.0,3.0,8.640129196871554
UKR,UKR,Ukraine,Swimming,2000,4,2,0.0,0.0,0.0,4.0,2.0,4.0,1,1.0,95,-1.0,0.0,8.636508559307645
GER,DEU,Germany,Equestrian,2020,4,3,0.0,0.0,0.0,4.0,3.0,4.0,1,1.0,18,18.0,18.0,8.614953630384045
URS,URS,Soviet Union,Athletics,1956,22,5,17.0,2.0,17.0,5.0,3.0,5.0,0,1.0,100,1.0,1.0,8.605837999304558
GER,DEU,Germany,Rowing,1936,7,5,3.0,1.0,2.0,4.0,4.0,5.0,0,1.0,21,0.0,0.0,8.592883955956335
GBR,GBR,United Kingdom,Equestrian,2020,5,2,0.0,0.0,0.0,5.0,2.0,5.0,1,1.0,18,18.0,18.0,8.578724961375721
CHN,CHN,China,Shooting,2020,11,4,7.0,1.0,7.333333333333333,4.0,3.0,3.666666666666667,0,1.0,45,0.0,0.0,8.566486983541203
SWE,SWE,Sweden,Athletics,1906,11,2,1.0,0.0,1.0,10.0,2.0,10.0,0,1.0,64,-8.0,0.0,8.5467698488567
FIN,FIN,Finland,Gymnastics,1948,8,4,2.0,1.0,2.6666666666666665,6.0,3.0,5.333333333333334,0,1.0,26,-2.0,0.0,8.540653474810016
JPN,JPN,Japan,Wrestling,2004,6,2,1.0,0.0,1.0,5.0,2.0,5.0,0,1.0,54,6.0,6.0,8.532437214276595
USA,USA,United States,Swimming,2000,31,13,26.0,13.0,23.666666666666668,5.0,0.0,7.333333333333332,0,1.0,95,-1.0,0.0,8.521749277587245
FRA,FRA,France,Fencing,1900,15,5,3.0,1.0,3.0,12.0,4.0,12.0,0,1.0,21,13.0,13.0,8.517663837888115
USA,USA,United States,Wrestling,2020,9,3,3.0,2.0,3.3333333333333335,6.0,1.0,5.666666666666666,0,1.0,72,0.0,0.0,8.494029645524552
GBR,GBR,United Kingdom,Sailing,2000,5,3,2.0,0.0,1.3333333333333333,3.0,3.0,3.666666666666667,0,1.0,33,3.0,3.0,8.491770803901218
URS,URS,Soviet Union,Cycling,1960,5,1,0.0,0.0,0.0,5.0,1.0,5.0,1,1.0,18,0.0,0.0,8.447689381488772
USA,USA,United States,Gymnastics,2016,12,4,6.0,3.0,8.333333333333334,6.0,1.0,3.666666666666666,0,0.0,42,0.0,0.0,8.43271527756023
RUS,RUS,Russia,Wrestling,2000,9,6,7.0,4.0,3.3333333333333335,2.0,2.0,5.666666666666666,0,1.0,48,-12.0,0.0,8.342898106761645
ROU,ROU,Romania,Gymnastics,1976,8,3,1.0,0.0,1.5,7.0,3.0,6.5,0,1.0,49,-2.0,0.0,8.339485608557807
USA,USA,United States,Swimming,1924,19,9,16.0,8.0,7.333333333333333,3.0,1.0,11.666666666666668,0,1.0,33,3.0,3.0,8.31594425060265
JPN,JPN,Japan,Judo,2004,10,8,8.0,4.0,8.666666666666666,2.0,4.0,1.333333333333334,0,1.0,56,0.0,0.0,8.310896228175602
SWE,SWE,Sweden,Wrestling,1932,10,6,4.0,3.0,4.666666666666667,6.0,3.0,5.333333333333333,0,1.0,42,3.0,3.0,8.305659221751561
CHN,CHN,China,Diving,2000,10,5,5.0,3.0,5.333333333333333,5.0,2.0,4.666666666666667,0,1.0,24,12.0,12.0,8.277268012087822
ROU,ROU,Romania,Rowing,1984,8,6,3.0,1.0,1.6666666666666667,5.0,5.0,6.333333333333333,0,1.0,42,0.0,0.0,8.26875773539759
USA,USA,United States,Art Competitions,1932,7,3,1.0,1.0,1.0,6.0,2.0,6.0,0,1.0,23,-6.0,0.0,8.260948776915964
POL,POL,Poland,Boxing,1960,7,1,2.0,0.0,1.6666666666666667,5.0,1.0,5.333333333333333,0,1.0,40,0.0,0.0,8.228209597284916
AUT,AUT,Austria,Canoeing,1936,7,3,0.0,0.0,0.0,7.0,3.0,7.0,1,1.0,27,27.0,27.0,8.186649759504897
KOR,KOR,South Korea,Taekwondo,2000,4,3,0.0,0.0,0.0,4.0,3.0,4.0,1,1.0,24,24.0,24.0,8.143543379753488
CHN,CHN,China,Weightlifting,1984,6,4,0.0,0.0,0.0,6.0,4.0,6.0,1,1.0,30,0.0,0.0,8.120598311248779
AUS,AUS,Australia,Diving,2004,6,1,2.0,0.0,1.5,4.0,1.0,4.5,0,1.0,24,0.0,0.0,8.117102790683195
GDR,DEU,Germany,Rowing,1972,7,3,2.0,1.0,2.3333333333333335,5.0,2.0,4.666666666666666,0,1.0,30,4.0,4.0,8.100299985897754
SWE,SWE,Sweden,Equestrianism,1912,6,4,0.0,0.0,0.0,6.0,4.0,6.0,1,1.0,15,0.0,0.0,8.095093040701595
GER,DEU,Germany,Gymnastics,1896,10,5,0.0,0.0,0.0,10.0,5.0,10.0,1,1.0,18,18.0,18.0,8.090032290527969
FRA,FRA,France,Cycling,1968,5,4,2.0,0.0,2.3333333333333335,3.0,4.0,2.6666666666666665,0,1.0,22,1.0,1.0,8.083173452133952
CHI,CHL,Chile,Tennis,2004,3,2,0.0,0.0,0.0,3.0,2.0,3.0,1,1.0,12,0.0,0.0,8.0614455451503
ROU,ROU,Romania,Weightlifting,1984,8,2,0.0,0.0,0.0,8.0,2.0,8.0,1,1.0,30,0.0,0.0,8.044690132512555
GBR,GBR,United Kingdom,Wrestling,1908,11,3,0.0,0.0,0.0,11.0,3.0,11.0,1,1.0,27,15.0,15.0,8.02222874124026
URS,URS,Soviet Union,Weightlifting,1952,7,3,0.0,0.0,0.0,7.0,3.0,7.0,1,1.0,21,3.0,3.0,7.970909155210277
GBR,GBR,United Kingdom,Swimming,2008,6,2,2.0,0.0,1.6666666666666667,4.0,2.0,4.333333333333333,0,1.0,104,7.0,7.0,7.9302576413303125
JAM,JAM,Jamaica,Athletics,2008,9,5,5.0,2.0,6.666666666666667,4.0,3.0,2.333333333333333,0,1.0,140,4.0,4.0,7.818241885476474
GDR,DEU,Germany,Swimming,1972,9,2,4.0,0.0,4.666666666666667,5.0,2.0,4.333333333333333,0,1.0,100,5.0,5.0,7.81512216030278
FIN,FIN,Finland,Athletics,1920,16,9,13.0,6.0,5.333333333333333,3.0,3.0,10.666666666666668,0,1.0,87,-6.0,0.0,7.804137266463597
GBR,GBR,United Kingdom,Athletics,1964,12,4,8.0,1.0,6.666666666666667,4.0,3.0,5.333333333333333,0,1.0,108,6.0,6.0,7.791536704775171
ROC,ROC,Russia,Shooting,2020,8,2,4.0,0.0,3.0,4.0,2.0,5.0,0,0.0,45,0.0,0.0,7.763410371330837
FRA,FRA,France,Judo,2012,7,2,4.0,0.0,3.6666666666666665,3.0,2.0,3.3333333333333335,0,1.0,56,0.0,0.0,7.751252110203452
CHN,CHN,China,Swimming,1992,9,4,4.0,0.0,4.0,5.0,4.0,5.0,0,1.0,93,-32.0,0.0,7.7211277079711875
AUS,AUS,Australia,Cycling Track,2024,5,1,1.0,0.0,1.0,4.0,1.0,4.0,0,0.0,36,0.0,0.0,7.720344647531837
JPN,JPN,Japan,Fencing,2024,5,2,1.0,1.0,1.0,4.0,1.0,4.0,0,0.0,36,0.0,0.0,7.720344647531837
GBR,GBR,United Kingdom,Gymnastics,2016,6,2,4.0,0.0,2.0,2.0,2.0,4.0,0,0.0,42,0.0,0.0,7.703238773560735
AUS,AUS,Australia,Athletics,2024,7,1,3.0,0.0,2.6666666666666665,4.0,1.0,4.333333333333334,0,0.0,145,1.0,1.0,7.701118305709357
USA,USA,United States,Wrestling,1972,6,3,2.0,0.0,2.0,4.0,3.0,4.0,0,1.0,63,12.0,12.0,7.693376342312596
URS,URS,Soviet Union,Athletics,1972,17,9,13.0,3.0,17.333333333333332,4.0,6.0,0.0,0,1.0,145,23.0,23.0,7.655130497433603
CHN,CHN,China,Boxing,2024,5,3,2.0,0.0,3.0,3.0,3.0,2.0,0,0.0,52,0.0,0.0,7.651358226521315
RUS,RUS,Russia,Weightlifting,2004,7,1,3.0,0.0,3.0,4.0,1.0,4.0,0,1.0,45,0.0,0.0,7.640060679649762
GBR,GBR,United Kingdom,Athletics,1908,17,7,9.0,3.0,6.666666666666667,8.0,4.0,10.333333333333332,0,1.0,78,14.0,14.0,7.6166360890912435
RUS,RUS,Russia,Shooting,1996,6,3,2.0,0.0,2.0,4.0,3.0,4.0,0,1.0,45,6.0,6.0,7.5947643691475015
JPN,JPN,Japan,Artistic Gymnastics,2020,5,2,0.0,0.0,0.0,5.0,2.0,5.0,1,1.0,43,43.0,43.0,7.586930375051176
THA,THA,Thailand,Weightlifting,2004,4,2,1.0,0.0,1.0,3.0,2.0,3.0,0,1.0,45,0.0,0.0,7.561445545150302
ITA,ITA,Italy,Shooting,2016,7,4,5.0,2.0,3.6666666666666665,2.0,2.0,3.3333333333333335,0,1.0,45,0.0,0.0,7.533395488191556
FRA,FRA,France,Swimming,2004,6,1,1.0,0.0,2.0,5.0,1.0,4.0,0,1.0,97,2.0,2.0,7.523886047314596
