noc,iso3,country_name,sport,year,total_medals,gold_medals,prev_total_medals,prev_gold_medals,rolling3_prev_medals,medal_growth,gold_growth,above_recent_baseline,first_medal_bonus,continuity_bonus,sport_total_medals,sport_total_growth,sport_expansion_penalty,olympic_leap_index
HUN,HUN,Hungary,Fencing,2008,1,0,3.0,1.0,2.3333333333333335,-2.0,-1.0,0.0,0,1.0,30,0.0,0.0,-2.3684590535335426
SWE,SWE,Sweden,Athletics,1908,5,2,11.0,2.0,6.0,-6.0,0.0,0.0,0,1.0,78,14.0,14.0,-2.372125288714743
PER,PER,Peru,Shooting,1984,1,0,1.0,1.0,1.0,0.0,-1.0,0.0,0,1.0,33,12.0,12.0,-2.3770479085098812
ROU,ROU,Romania,Shooting,1984,1,0,1.0,1.0,1.3333333333333333,0.0,-1.0,0.0,0,1.0,33,12.0,12.0,-2.3770479085098812
DEN,DNK,Denmark,Shooting,1984,1,0,1.0,1.0,1.6666666666666667,0.0,-1.0,0.0,0,1.0,33,12.0,12.0,-2.3770479085098812
CAN,CAN,Canada,Shooting,1984,1,1,2.0,1.0,1.3333333333333333,-1.0,0.0,0.0,0,0.0,33,12.0,12.0,-2.381439818056245
GEO,GEO,Georgia,Wrestling,2020,2,0,3.0,1.0,4.333333333333333,-1.0,-1.0,0.0,0,1.0,72,0.0,0.0,-2.3819391491989688
CIV,CIV,Cote d'Ivoire,Taekwondo,2020,1,0,2.0,1.0,2.0,-1.0,-1.0,0.0,0,1.0,32,0.0,0.0,-2.3819391491989688
JPN,JPN,Japan,Badminton,2020,1,0,2.0,1.0,1.5,-1.0,-1.0,0.0,0,1.0,15,0.0,0.0,-2.3819391491989688
KOR,KOR,South Korea,Shooting,2020,1,0,2.0,1.0,3.0,-1.0,-1.0,0.0,0,1.0,45,0.0,0.0,-2.3819391491989688
ARM,ARM,Armenia,Wrestling,2020,1,0,2.0,1.0,2.0,-1.0,-1.0,0.0,0,1.0,72,0.0,0.0,-2.3819391491989688
POL,POL,Poland,Rowing,2020,1,0,2.0,1.0,1.6666666666666667,-1.0,-1.0,0.0,0,1.0,42,0.0,0.0,-2.3819391491989688
COL,COL,Colombia,Weightlifting,2020,1,0,2.0,1.0,1.3333333333333333,-1.0,-1.0,0.0,0,1.0,42,-3.0,0.0,-2.3819391491989688
GBR,GBR,United Kingdom,Athletics,2008,5,1,4.0,3.0,5.333333333333333,1.0,-2.0,0.0,0,1.0,140,4.0,4.0,-2.3839748264276923
GER,DEU,Germany,Canoeing,1952,3,0,7.0,2.0,7.0,-4.0,-2.0,0.0,0,1.0,27,0.0,0.0,-2.3953126449137354
BLR,BLR,Belarus,Canoeing,2016,1,0,3.0,0.0,2.3333333333333335,-2.0,0.0,0.0,0,0.0,49,1.0,1.0,-2.4079589700707635
KOR,KOR,South Korea,Table Tennis,1992,4,0,4.0,2.0,4.0,0.0,-2.0,0.0,0,1.0,15,3.0,3.0,-2.4136370762824835
KOR,KOR,South Korea,Athletics,1996,1,0,1.0,1.0,1.0,0.0,-1.0,0.0,0,0.0,132,1.0,1.0,-2.4142082305329082
BUL,BGR,Bulgaria,Weightlifting,1996,3,0,4.0,1.0,5.333333333333333,-1.0,-1.0,0.0,0,1.0,30,1.0,1.0,-2.4199381271016027
POL,POL,Poland,Judo,1992,1,1,2.0,1.0,1.3333333333333333,-1.0,0.0,0.0,0,1.0,56,23.0,23.0,-2.4248195319816115
USA,USA,United States,Judo,1992,1,0,2.0,0.0,1.6666666666666667,-1.0,0.0,0.0,0,1.0,56,23.0,23.0,-2.4248195319816115
GER,DEU,Germany,Judo,1992,2,0,3.0,0.0,2.6666666666666665,-1.0,0.0,0.0,0,1.0,56,23.0,23.0,-2.4248195319816115
GBR,GBR,United Kingdom,Tennis,1924,3,0,6.0,2.0,9.0,-3.0,-2.0,0.0,0,1.0,15,0.0,0.0,-2.427358188123674
USA,USA,United States,Wrestling,1956,2,0,4.0,1.0,4.0,-2.0,-1.0,0.0,0,1.0,48,0.0,0.0,-2.427923648015713
KEN,KEN,Kenya,Athletics,1972,6,2,8.0,3.0,4.5,-2.0,-1.0,1.5,0,1.0,145,23.0,23.0,-2.43205390546181
GRE,GRC,Greece,Fencing,1906,4,1,4.0,2.0,4.0,0.0,-1.0,0.0,0,0.0,23,8.0,8.0,-2.4374739514317323
UKR,UKR,Ukraine,Sailing,2000,1,0,2.0,1.0,2.0,-1.0,-1.0,0.0,0,1.0,33,3.0,3.0,-2.4408230379047504
BRA,BRA,Brazil,Sailing,1984,1,0,2.0,2.0,1.3333333333333333,-1.0,-2.0,0.0,0,1.0,21,3.0,3.0,-2.4528266389893805
GBR,GBR,United Kingdom,Figure Skating,1920,1,0,6.0,1.0,6.0,-5.0,-1.0,0.0,0,0.0,9,-3.0,0.0,-2.4548428610330744
ROU,ROU,Romania,Gymnastics,1992,5,2,9.0,3.0,7.666666666666667,-4.0,-1.0,0.0,0,1.0,47,-5.0,0.0,-2.456466793107778
CHN,CHN,China,Athletics,2000,1,1,4.0,1.0,3.0,-3.0,0.0,0.0,0,1.0,139,7.0,7.0,-2.464301877912133
FRG,DEU,Germany,Athletics,1968,8,1,10.0,2.0,10.0,-2.0,-1.0,0.0,0,1.0,122,14.0,14.0,-2.4659838938608627
GRE,GRC,Greece,Shooting,1906,8,2,9.0,3.0,9.0,-1.0,-1.0,0.0,0,1.0,36,11.0,11.0,-2.4841032672519523
HUN,HUN,Hungary,Modern Pentathlon,1992,1,0,2.0,2.0,1.6666666666666667,-1.0,-2.0,0.0,0,1.0,6,0.0,0.0,-2.4848592699321363
