country_name,noc,period_start,period_end,female_medals_start,female_medals_end,female_medal_growth_total,female_event_opportunity_start,female_event_opportunity_end,female_athlete_share_start,female_athlete_share_end,female_capture_ratio_start,female_capture_ratio_end,opportunity_expansion_component,participation_expansion_component,conversion_improvement_component,unexplained_component,dominant_growth_driver,decomposition_confidence,interpretation_text
Dominican Republic,DOM,2020,2024,2.0,1.0,-1.0,0.4715909090909091,0.4796747967479675,,,0.8481927710843373,0.6949152542372881,0.03428347536487403,,-0.3676168086982076,-0.6666666666666664,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Dominican Republic 2020-2024: female medals moved from 2 to 1 (-1). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.03, participation component nan, conversion component -0.37, unexplained/scale component -0.67. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Ecuador,ECU,1996,2008,0.0,0.0,0.0,0.35793357933579334,0.41721854304635764,0.10526315789473684,0.32,0.0,0.0,0.0,0.0,0.0,0.0,no_positive_female_medal_growth,low_small_growth,"Ecuador 1996-2008: female medals moved from 0 to 0 (+0). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.0, participation component 0.0, conversion component 0.0, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Ecuador,ECU,2008,2020,0.0,2.0,2.0,0.41721854304635764,0.4715909090909091,0.32,,0.0,1.4136546184738954,0.0,,0.6666666666666666,1.3333333333333335,unexplained_or_scale_change,low_missing_athlete_share_or_conversion_inputs,"Ecuador 2008-2020: female medals moved from 0 to 2 (+2). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 0.0, participation component nan, conversion component 0.67, unexplained/scale component 1.33. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Ecuador,ECU,2020,2024,2.0,3.0,1.0,0.4715909090909091,0.4796747967479675,,,1.4136546184738954,1.2508474576271187,0.03428347536487402,,-0.2342834753648738,1.1999999999999997,unexplained_or_scale_change,low_missing_athlete_share_or_conversion_inputs,"Ecuador 2020-2024: female medals moved from 2 to 3 (+1). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 0.03, participation component nan, conversion component -0.23, unexplained/scale component 1.2. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Egypt,EGY,2008,2020,0.0,3.0,3.0,0.41721854304635764,0.4715909090909091,0.26,,0.0,1.0602409638554215,0.0,,0.49999999999999994,2.5,unexplained_or_scale_change,low_missing_athlete_share_or_conversion_inputs,"Egypt 2008-2020: female medals moved from 0 to 3 (+3). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 0.0, participation component nan, conversion component 0.5, unexplained/scale component 2.5. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Egypt,EGY,2020,2024,3.0,1.0,-2.0,0.4715909090909091,0.4796747967479675,,,1.0602409638554215,0.6949152542372881,0.051425213047311034,,-1.051425213047311,-1.0,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Egypt 2020-2024: female medals moved from 3 to 1 (-2). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.05, participation component nan, conversion component -1.05, unexplained/scale component -1.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Spain,ESP,1984,1996,0.0,6.0,6.0,0.28054298642533937,0.35793357933579334,0.0893854748603352,0.328719723183391,0.0,0.986052152819891,0.0,0.0,1.7647058823529413,4.235294117647059,unexplained_or_scale_change,medium,"Spain 1984-1996: female medals moved from 0 to 6 (+6). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 0.0, participation component 0.0, conversion component 1.76, unexplained/scale component 4.24. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Spain,ESP,1996,2008,6.0,4.0,-2.0,0.35793357933579334,0.41721854304635764,0.328719723183391,0.42402826855123676,0.986052152819891,0.5326278659611993,0.9937871236430675,2.0277690395684482,-5.243778385433737,0.22222222222222143,no_positive_female_medal_growth,medium,"Spain 1996-2008: female medals moved from 6 to 4 (-2). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.99, participation component 2.03, conversion component -5.24, unexplained/scale component 0.22. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Spain,ESP,2008,2020,4.0,6.0,2.0,0.41721854304635764,0.4715909090909091,0.42402826855123676,,0.5326278659611993,0.7484053862508859,0.5212842712842712,,1.8316569051863174,-0.35294117647058876,conversion_improvement,low_missing_athlete_share_or_conversion_inputs,"Spain 2008-2020: female medals moved from 4 to 6 (+2). Dominant descriptive driver: conversion_improvement. Opportunity component 0.52, participation component nan, conversion component 1.83, unexplained/scale component -0.35. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Spain,ESP,2020,2024,6.0,5.0,-1.0,0.4715909090909091,0.4796747967479675,,,0.7484053862508859,0.5790960451977402,0.10285042609462208,,-1.3806282038724,0.2777777777777779,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Spain 2020-2024: female medals moved from 6 to 5 (-1). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.1, participation component nan, conversion component -1.38, unexplained/scale component 0.28. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
